name,badge_1,mrp,discounted_price,discount,rating,rating_count,link
"Galen Study Chair (Black, Nylon Chair Base)By Urban Ladder",,"₹10,999","₹8,799",20% Off,,,https://www.urbanladder.com/products/galen-study-chair?sku=FNSTCH81BK10909&src=subcat
DSW Chair Replica (Clear)By Urban Ladder,,"₹7,999","₹6,399",20% Off,,,https://www.urbanladder.com/products/dsw-chair-replica?sku=FNSTCH81TT10151&src=subcat
Pashe Chair (Teal)By Urban Ladder,,,"₹7,099",,,,https://www.urbanladder.com/products/pashe-chairs?sku=FNSTCH81TL30156&src=subcat
Axis Folding Chair (Teak Finish)By Urban Ladder,,"₹4,999","₹4,249",15% Off,,,https://www.urbanladder.com/products/axis-folding-chair?sku=FNSTCH11TK20001&src=subcat
Danum Swing Chair (Brown)By Urban Ladder,,,"₹18,599",,,,https://www.urbanladder.com/products/danum-swing-chair?sku=FNODSW92BR30007&src=subcat
Meryl Lounge Chair (Teal)By Urban Ladder,,,"₹6,499",,,,https://www.urbanladder.com/products/meryl-lounge-chair?sku=FNSTCH16FF31005&src=subcat
Mika Study Chair (White)By Urban Ladder,,"₹13,599","₹10,879",20% Off,,,https://www.urbanladder.com/products/mika-study-chair?sku=FNSTCH90WH10356&src=subcat
Pashe Chair (Black)By Urban Ladder,,,"₹6,999",,,,https://www.urbanladder.com/products/pashe-chairs?sku=FNSTCH81BK10153&src=subcat
Mika Study Chair (Scarlet Red)By Urban Ladder,,"₹13,599","₹10,879",20% Off,,,https://www.urbanladder.com/products/mika-study-chair?sku=FNSTCH90RD10356&src=subcat
Hagen Lounge Chair (Cobalt)By Urban Ladder,,"₹19,799","₹15,839",20% Off,,,https://www.urbanladder.com/products/hagen-lounge-chair?sku=FNSFWG51CO30030&src=subcat
Grace Accent Chair (Floral)By Urban Ladder,Only 2 Left,,"₹14,599",,,,https://www.urbanladder.com/products/grace-accent-chair?sku=FNSTCH16FR10283&src=room
Carven Lounge Chair (Green)By Urban Ladder,,"₹16,699","₹12,524",25% Off,,,https://www.urbanladder.com/products/carven-lounge-chair?sku=FNSTCH15GR30213&src=subcat
Kamilah Swing Chair (White)By Urban Ladder,,,"₹28,299",,,,https://www.urbanladder.com/products/kamilah-swing-chair?sku=FNODSW92WH30057&src=subcat
Gordon Chair (Mahogany Finish)By Urban Ladder,,"₹5,899","₹4,424",25% Off,,,https://www.urbanladder.com/products/gordon-chair?sku=FNSTCH11MH30013&src=subcat
Meryl Lounge Chair (Raspberry)By Urban Ladder,,,"₹6,499",,,,https://www.urbanladder.com/products/meryl-lounge-chair?sku=FNSTCH16RB31005&src=subcat
Ormond Accent Chair (White)By Urban Ladder,Best Seller,,"₹5,799",,,,https://www.urbanladder.com/products/ormond-accent-chair?sku=FNSTCH81WH10056&src=subcat
Dorothy Accent Chair (Grey)By Urban Ladder,,,"₹11,099",,,,https://www.urbanladder.com/products/dorothy-accent-chair?sku=FNSTCH41GY10276&src=subcat
Gordon Chair (Teak Finish)By Urban Ladder,,"₹5,899","₹5,014",15% Off,,,https://www.urbanladder.com/products/gordon-chair?sku=FNSTCH11TK30013&src=subcat
DSW Side Chair Replica (Patchwork)By Urban Ladder,,"₹9,799","₹7,839",20% Off,,,https://www.urbanladder.com/products/dsw-side-chair-replica?sku=FNSTCH51MX10151&src=subcat
Carven Lounge Chair (Red)By Urban Ladder,,,"₹16,699",,,,https://www.urbanladder.com/products/carven-lounge-chair?sku=FNSTCH57RD10294&src=subcat
Grace Accent Chair (Lava)By Urban Ladder,Only 1 Left,,"₹14,599",,,,https://www.urbanladder.com/products/grace-accent-chair?sku=FNSTCH51LA30461&src=room
