name,badge_1,badge_2,badge_3,badge_4,mrp,discounted_price,discount,rating,rating_count,link
Gerber Mild Cheddar Snack Foods for 6 Months + ( 42 gm ),,3 left!,,,Rs. 595,Rs.  549,8% Off,4.200000000000001,(32),https://www.snapdeal.com/product/gerber-mild-cheddar-snack-foods/638877499862#bcrumbSearch:baby%20food
Gerber Baby Food BANANA APPLE STRAWBERRY Infant Cereal for 6 Months + ( 227 gm ),,,,,Rs. 895,Rs.  825,8% Off,4.3,(41),https://www.snapdeal.com/product/gerber-baby-food-banana-apple/631561070821#bcrumbSearch:baby%20food
Gerber Gerber Puffs Baby Food Blueberry Cereal Snack 42g Snack Foods for 6 Months + ( 42 gm ),,1 left!,,,Rs. 595,Rs.  549,8% Off,4.8,(17),https://www.snapdeal.com/product/gerber-gerber-puffs-baby-food/662009898358#bcrumbSearch:baby%20food
Gerber Banana Snack Foods for 6 Months + ( 42 gm ),,,,,Rs. 595,Rs.  549,8% Off,4.5,(11),https://www.snapdeal.com/product/gerber-banana-snack-foods-for/641176366317#bcrumbSearch:baby%20food
Gerber Baby Food BANANA STRAWBERRY Infant Cereal for 6 Months + ( 227 gm ),,,,,Rs. 895,Rs.  825,8% Off,4.5,(24),https://www.snapdeal.com/product/gerber-baby-food-banana-strawberry/660604024892#bcrumbSearch:baby%20food
Heinz Baby Food FARLEY ORIGINAL RUSK Biscuits for 6 Months + ( 150 gm ),,5 left!,,,Rs. 425,Rs.  379,11% Off,4.3,(22),https://www.snapdeal.com/product/heinz-baby-food-farley-original/630952023259#bcrumbSearch:baby%20food
Gerber Gerber Baby Food Oatmeal Single Grain Cereal 4+Month Infant Cereal for 6 Months + ( 227 gm ),,,,,Rs. 550,Rs.  499,9% Off,4.4,(16),https://www.snapdeal.com/product/gerber-gerber-baby-food-oatmeal/686830710629#bcrumbSearch:baby%20food
Gerber Baby Food LIL CRUNCHIES VEGGIE DIP Infant Cereal for 6 Months + ( 42 gm ),,,,,Rs. 490,Rs.  439,10% Off,4.200000000000001,(15),https://www.snapdeal.com/product/gerber-baby-food-lil-crunchies/680473378832#bcrumbSearch:baby%20food
Gerber Gerber Sweet Potato Puffs 42g Infant Cereal for 6 Months + ( 42 gm ),,,,,Rs. 430,Rs.  379,12% Off,4.6000000000000005,(36),https://www.snapdeal.com/product/gerber-gerber-sweet-potato-puffs/622556403985#bcrumbSearch:baby%20food
"Happa Sprouted Ragi, Carrot+Beetroot Porridge Infant Cereal for 6 Months + ( 200 gm )",,,,,Rs. 249,Rs.  209,16% Off,,,https://www.snapdeal.com/product/happa-sprouted-ragi-carrotbeetroot-porridge/622938902209#bcrumbSearch:baby%20food
Gerber Gerber Oatmeal Banana Strawberry Cereal 227g Infant Cereal for 6 Months + ( 227 gm ),,,,,Rs. 670,Rs.  625,7% Off,4.1,(28),https://www.snapdeal.com/product/gerber-gerber-oatmeal-banana-strawberry/650702243019#bcrumbSearch:baby%20food
Gerber Gerber Rice Banana Apple Cereal 227g Infant Cereal for 6 Months + ( 227 gm ),,,,,Rs. 700,Rs.  649,7% Off,4.200000000000001,(20),https://www.snapdeal.com/product/gerber-gerber-rice-banana-apple/624860343882#bcrumbSearch:baby%20food
Gerber Gerber Sweet Potato Puffs 42g Infant Cereal for 6 Months + ( 42 gm ),,,,Featured,Rs. 430,Rs. 379,0% Off,4.6000000000000005,,https://clk.snapdeal.biz/rtb/clickTracker/0/3843300625?slotId=19&slotName=sd-cr-198X232-1-4&campaignId=1003302&websiteId=1&position=&trackerId=10.65.96.26:49354609-5d81-4d6a-97dd-c5d57d9f55f9:1&category=generic_search&supcCat=baby-food-cereal&page=slp&accId=82441&siteId=101&sdId=162808612351971990&eId=&dId=&sellerCode=S9438f&supc=SDL830110170&pogId=622556403985&brand=Gerber&metricsType=CPC&fp=0.0&type=product&acos=0.0&exp=&billingType=prepaid&servingSystem=null&refTag=search_ad&as=1000000&pr=700000&ct=https%3A%2F%2Fwww.snapdeal.com%2Fproduct%2Fgerber-gerber-sweet-potato-puffs%2F622556403985%3FvendorCode%3DS9438f%26pa%3Dtrue%26fv%3Dtrue%26supc%3DSDL830110170%26utm_campaign%3Dnull%26utm_medium%3DProductAds%26isSellerPage%3Dtrue
