name,badge_1,badge_2,badge_3,badge_4,mrp,discounted_price,discount,rating,rating_count,link
Abelya Cotton Blend Black Jackets,,,,,"Rs. 1,299",Rs.  489,62% Off,4.699999999999999,(7),https://www.snapdeal.com/product/abelya-cotton-blend-black-jackets/640893854607#bcrumbSearch:women%20jackets
GENEALO Cotton Blend Maroon Jackets,,,,,Rs. 999,Rs.  599,40% Off,,,https://www.snapdeal.com/product/genealo-cotton-blend-maroon-ethnic/649923019009#bcrumbSearch:women%20jackets
Abelya Denim Blue Jackets,,,,,"Rs. 1,499",Rs.  525,65% Off,4.0,(89),https://www.snapdeal.com/product/abelya-denim-blue-jackets/641222021478#bcrumbSearch:women%20jackets
GENEALO Cotton Blend Black Jackets,,,,,Rs. 999,Rs.  599,40% Off,4.0,(1),https://www.snapdeal.com/product/genealo-cotton-blend-black-jackets/668968155421#bcrumbSearch:women%20jackets
MDS Jeans Denim Blue Jackets,,,,,"Rs. 1,499",Rs.  599,60% Off,4.1,(16),https://www.snapdeal.com/product/mds-jeans-denim-blue-jackets/673235613223#bcrumbSearch:women%20jackets
GENEALO Denim Blue Jackets,,,,,"Rs. 1,299",Rs.  679,48% Off,,,https://www.snapdeal.com/product/genealo-denim-blue-jackets/624451146429#bcrumbSearch:women%20jackets
Abelya Denim Blue Jackets,,,,,Rs. 999,Rs.  489,51% Off,,,https://www.snapdeal.com/product/abelya-denim-blue-jackets/650405348211#bcrumbSearch:women%20jackets
STC Cotton Blend White Jackets,,,,,Rs. 999,Rs.  599,40% Off,4.3,(3),https://www.snapdeal.com/product/stc-cotton-blend-white-ethnic/643309538903#bcrumbSearch:women%20jackets
Abelya Cotton Blend Maroon Jackets,,,,,"Rs. 1,299",Rs.  489,62% Off,3.5999999999999996,(8),https://www.snapdeal.com/product/abelya-cotton-blend-maroon-jackets/660467565105#bcrumbSearch:women%20jackets
STC Denim Blue Jackets,,,,,"Rs. 1,099",Rs.  699,36% Off,4.200000000000001,(39),https://www.snapdeal.com/product/stc-denim-blue-jackets/636365964672#bcrumbSearch:women%20jackets
retrobella Cotton Blend Green Jackets,,,,,"Rs. 1,999",Rs.  638,68% Off,4.1,(15),https://www.snapdeal.com/product/retrobella-cotton-blend-green-jackets/626418943055#bcrumbSearch:women%20jackets
Abelya Denim Blue Jackets,,,,,"Rs. 1,499",Rs.  519,65% Off,4.200000000000001,(55),https://www.snapdeal.com/product/abelya-denim-blue-jackets/640478719103#bcrumbSearch:women%20jackets
retrobella Cotton Blend Pink Jackets,,,,,"Rs. 1,999",Rs.  641,68% Off,4.200000000000001,(27),https://www.snapdeal.com/product/retrobella-cotton-blend-pink-jackets/677389643345#bcrumbSearch:women%20jackets
Abelya Denim Blue Jackets,,,,,Rs. 999,Rs.  489,51% Off,,,https://www.snapdeal.com/product/abelya-denim-blue-jackets/659528008043#bcrumbSearch:women%20jackets
GENEALO Cotton Blend Black Jackets,,,,,Rs. 999,Rs.  599,40% Off,4.0,(1),https://www.snapdeal.com/product/genealo-cotton-blend-black-jackets/636001002673#bcrumbSearch:women%20jackets
STC Denim Blue Jackets,,,,,"Rs. 1,099",Rs.  599,45% Off,3.8,(21),https://www.snapdeal.com/product/stc-denim-blue-blazers/674405702438#bcrumbSearch:women%20jackets
Abelya Denim Blue Jackets,,,,,"Rs. 1,499",Rs.  499,67% Off,3.8,(34),https://www.snapdeal.com/product/abelya-denim-blue-jackets/678083539062#bcrumbSearch:women%20jackets
PINK FABB Denim Pink Jackets,,,,,"Rs. 1,499",Rs.  595,60% Off,3.2,(6),https://www.snapdeal.com/product/pink-fabb-denim-pink-jackets/637493997843#bcrumbSearch:women%20jackets
Ayrin Denim Blue Jackets,,,,,"Rs. 1,199",Rs.  509,58% Off,4.1,(8),https://www.snapdeal.com/product/ayrin-denim-blue-jackets/682238859320#bcrumbSearch:women%20jackets
Ammi Jaan Denim Blue Jackets,,,,,"Rs. 1,299",Rs.  481,63% Off,3.8,(8),https://www.snapdeal.com/product/ammi-jaan-denim-blue-jackets/643825643036#bcrumbSearch:women%20jackets
Rafflesia Tolpis Denim Blue Jackets,,,,,"Rs. 1,099",Rs.  570,48% Off,3.7,(103),https://www.snapdeal.com/product/rafflesia-tolpis-denim-blue-jackets/682891995325
GENEALO Denim Navy Jackets,,,,,Rs. 999,Rs.  599,40% Off,,,https://www.snapdeal.com/product/genealo-denim-navy-jackets/640336154802
STC Cotton Blend Pink Jackets,,,,,"Rs. 1,499",Rs.  595,60% Off,3.299999999999999,(7),https://www.snapdeal.com/product/stc-denim-pink-jackets/653956386429
GENEALO Denim Blue Jackets,,,,,"Rs. 1,299",Rs.  679,48% Off,3.5,(4),https://www.snapdeal.com/product/genealo-denim-blue-jackets/647992443036
Abelya Cotton Blend White Jackets,,,,,"Rs. 2,199",Rs.  575,74% Off,4.1,(17),https://www.snapdeal.com/product/abelya-cotton-blend-white-jackets/655277113435
GENEALO Denim Blue Jackets,,,,,"Rs. 1,099",Rs.  599,45% Off,4.200000000000001,(16),https://www.snapdeal.com/product/genealo-denim-blue-jackets/662572804384
Abelya Denim Blue Jackets,,,,,"Rs. 1,499",Rs.  549,63% Off,4.3,(12),https://www.snapdeal.com/product/abelya-denim-blue-jackets/667356209899
GENEALO Denim Blue Jackets,,,,,"Rs. 1,099",Rs.  599,45% Off,,,https://www.snapdeal.com/product/genealo-denim-blue-ethnic-jacket/663057010200
retrobella Denim White Jackets,,,,,"Rs. 1,499",Rs.  638,57% Off,4.4,(15),https://www.snapdeal.com/product/retrobella-denim-white-jackets/640527236699
Trufit Multi Color Polyester Blend Reversible Jackets,,,,,"Rs. 2,995","Rs.  2,388",20% Off,4.200000000000001,(33),https://www.snapdeal.com/product/trufit-multi-color-polyester-blend/653051447632
GENEALO Cotton Blend Red Jackets,,,,,Rs. 999,Rs.  599,40% Off,,,https://www.snapdeal.com/product/genealo-cotton-blend-red-jackets/677349341471
STC Denim Navy Jackets,,,,,"Rs. 1,099",Rs.  599,45% Off,3.7,(9),https://www.snapdeal.com/product/stc-denim-navy-jackets/674626947311
GENEALO Cotton Blend Red Jackets,,,,,Rs. 999,Rs.  599,40% Off,3.5,(2),https://www.snapdeal.com/product/genealo-cotton-blend-red-jackets/624114310168
retrobella Denim Yellow Jackets,,,,,"Rs. 1,499",Rs.  638,57% Off,4.5,(22),https://www.snapdeal.com/product/retrobella-denim-yellow-jackets/651847813826
GENEALO Denim Blue Jackets,,,,,"Rs. 1,299",Rs.  699,46% Off,,,https://www.snapdeal.com/product/genealo-denim-blue-jackets/658198211821
Campus Sutra Cotton Black Quiltted Jackets,,,,,"Rs. 2,099",Rs.  944,55% Off,4.3,(12),https://www.snapdeal.com/product/campus-sutra-cotton-quiltted-jackets/670404301876
GENEALO Cotton Blend Yellow Jackets,,,,,Rs. 999,Rs.  599,40% Off,5.0,(1),https://www.snapdeal.com/product/genealo-cotton-blend-yellow-ethnic/629591622674
STC Cotton Blend Black Jackets,,,,,Rs. 999,Rs.  599,40% Off,3.7,(27),https://www.snapdeal.com/product/stc-denim-black-jackets/623312559396
GENEALO Cotton Blend Red Jackets,,,,,Rs. 999,Rs.  599,40% Off,5.0,(3),https://www.snapdeal.com/product/genealo-cotton-blend-red-ethnic/671492660165
END EDGE Nylon Pink Parka Jackets,,,,,"Rs. 3,099","Rs.  1,503",52% Off,4.3,(18),https://www.snapdeal.com/product/end-edge-nylon-pink-jackets/656669769134
