name,badge_1,badge_2,badge_3,badge_4,mrp,discounted_price,discount,rating,rating_count,link
Abelya Denim Blue Jackets,,,,,"Rs. 1,499",Rs.  525,65% Off,4.1,(91),https://www.snapdeal.com/product/abelya-denim-blue-jackets/641222021478#bcrumbSearch:women%20jackets
STC Cotton Blend Pink Jackets,,,,,"Rs. 1,499",Rs.  595,60% Off,3.299999999999999,(7),https://www.snapdeal.com/product/stc-denim-pink-jackets/653956386429#bcrumbSearch:women%20jackets
Abelya Cotton Blend Maroon Jackets,,,,,"Rs. 1,299",Rs.  489,62% Off,3.5999999999999996,(8),https://www.snapdeal.com/product/abelya-cotton-blend-maroon-jackets/660467565105#bcrumbSearch:women%20jackets
PINK FABB Denim Pink Jackets,,,,,"Rs. 1,499",Rs.  595,60% Off,3.2,(6),https://www.snapdeal.com/product/pink-fabb-denim-pink-jackets/637493997843#bcrumbSearch:women%20jackets
Abelya Cotton Blend Black Jackets,,,,,"Rs. 1,299",Rs.  489,62% Off,4.6000000000000005,(8),https://www.snapdeal.com/product/abelya-cotton-blend-black-jackets/640893854607#bcrumbSearch:women%20jackets
GENEALO Denim Blue Jackets,,,,,"Rs. 1,299",Rs.  699,46% Off,,,https://www.snapdeal.com/product/genealo-denim-blue-jackets/658198211821#bcrumbSearch:women%20jackets
Abelya Denim Blue Jackets,,,,,Rs. 999,Rs.  489,51% Off,,,https://www.snapdeal.com/product/abelya-denim-blue-jackets/650405348211#bcrumbSearch:women%20jackets
Ayrin Denim Blue Jackets,,,,,"Rs. 1,199",Rs.  509,58% Off,4.1,(8),https://www.snapdeal.com/product/ayrin-denim-blue-jackets/682238859320#bcrumbSearch:women%20jackets
Abelya Denim Blue Jackets,,,,,"Rs. 1,499",Rs.  519,65% Off,4.3,(56),https://www.snapdeal.com/product/abelya-denim-blue-jackets/640478719103#bcrumbSearch:women%20jackets
STC Denim Blue Jackets,,,,,"Rs. 1,099",Rs.  699,36% Off,4.200000000000001,(39),https://www.snapdeal.com/product/stc-denim-blue-jackets/636365964672#bcrumbSearch:women%20jackets
GENEALO Cotton Blend Red Jackets,,,,,Rs. 999,Rs.  599,40% Off,3.5,(2),https://www.snapdeal.com/product/genealo-cotton-blend-red-jackets/624114310168#bcrumbSearch:women%20jackets
Abelya Denim Blue Jackets,,,,,Rs. 999,Rs.  489,51% Off,,,https://www.snapdeal.com/product/abelya-denim-blue-jackets/659528008043#bcrumbSearch:women%20jackets
GENEALO Cotton Blend Green Jackets,,,,,Rs. 999,Rs.  599,40% Off,,,https://www.snapdeal.com/product/genealo-cotton-blend-green-jackets/635334235158#bcrumbSearch:women%20jackets
Rafflesia Tolpis Denim Blue Jackets,,,,,"Rs. 1,099",Rs.  570,48% Off,3.7,(103),https://www.snapdeal.com/product/rafflesia-tolpis-denim-blue-jackets/682891995325#bcrumbSearch:women%20jackets
GENEALO Cotton Blend Maroon Jackets,,,,,Rs. 999,Rs.  599,40% Off,4.4,(7),https://www.snapdeal.com/product/genealo-cotton-blend-maroon-jackets/667984508799#bcrumbSearch:women%20jackets
Abelya Cotton Blend White Jackets,,,,,"Rs. 2,199",Rs.  575,74% Off,4.1,(17),https://www.snapdeal.com/product/abelya-cotton-blend-white-jackets/655277113435#bcrumbSearch:women%20jackets
retrobella Cotton Blend Pink Jackets,,,,,"Rs. 1,999",Rs.  641,68% Off,4.200000000000001,(27),https://www.snapdeal.com/product/retrobella-cotton-blend-pink-jackets/677389643345#bcrumbSearch:women%20jackets
JUNEBERRY Cotton Blend Multi Color Hooded Jackets,,,,,"Rs. 1,699",Rs.  999,41% Off,3.7,(59),https://www.snapdeal.com/product/juneberry-cotton-blend-multi-color/671893489865#bcrumbSearch:women%20jackets
GENEALO Denim Navy Jackets,,,,,Rs. 999,Rs.  599,40% Off,,,https://www.snapdeal.com/product/genealo-denim-navy-jackets/640336154802#bcrumbSearch:women%20jackets
Ammi Jaan Denim Blue Jackets,,,,,"Rs. 1,299",Rs.  481,63% Off,3.9000000000000004,(9),https://www.snapdeal.com/product/ammi-jaan-denim-blue-jackets/643825643036#bcrumbSearch:women%20jackets
GENEALO Cotton Blend Navy Jackets,,,,,"Rs. 1,099",Rs.  599,45% Off,5.0,(2),https://www.snapdeal.com/product/genealo-cotton-blend-navy-jackets/623086203378
Abelya Denim Blue Jackets,,,,,"Rs. 1,499",Rs.  549,63% Off,4.3,(12),https://www.snapdeal.com/product/abelya-denim-blue-jackets/667356209899
GENEALO Cotton Blend Maroon Jackets,,,,,Rs. 999,Rs.  599,40% Off,,,https://www.snapdeal.com/product/genealo-cotton-blend-maroon-ethnic/649923019009
MDS Jeans Denim Blue Jackets,,,,,"Rs. 1,499",Rs.  599,60% Off,4.1,(16),https://www.snapdeal.com/product/mds-jeans-denim-blue-jackets/673235613223
GENEALO Cotton Blend Red Jackets,,,,,Rs. 999,Rs.  599,40% Off,5.0,(3),https://www.snapdeal.com/product/genealo-cotton-blend-red-ethnic/671492660165
retrobella Denim White Jackets,,,,,"Rs. 1,499",Rs.  638,57% Off,4.4,(15),https://www.snapdeal.com/product/retrobella-denim-white-jackets/640527236699
GENEALO Cotton Blend Yellow Jackets,,,,,Rs. 999,Rs.  599,40% Off,5.0,(1),https://www.snapdeal.com/product/genealo-cotton-blend-yellow-ethnic/629591622674
STC Denim Navy Jackets,,,,,"Rs. 1,099",Rs.  599,45% Off,3.7,(9),https://www.snapdeal.com/product/stc-denim-navy-jackets/674626947311
GENEALO Denim Navy Jackets,,,,,Rs. 999,Rs.  679,32% Off,,,https://www.snapdeal.com/product/genealo-denim-navy-jackets/636972890789
STC Cotton White Jackets,,,,,Rs. 999,Rs.  599,40% Off,3.5999999999999996,(50),https://www.snapdeal.com/product/stc-denim-white-blazers/646379833408
GENEALO Cotton Blend Yellow Jackets,,,,,Rs. 999,Rs.  599,40% Off,,,https://www.snapdeal.com/product/genealo-cotton-blend-yellow-jackets/640457304406
STC Cotton Blend White Jackets,,,,,Rs. 999,Rs.  599,40% Off,4.3,(3),https://www.snapdeal.com/product/stc-cotton-blend-white-ethnic/643309538903
GENEALO Cotton Blend White Ethnic Jacket,,,,,Rs. 999,Rs.  599,40% Off,,,https://www.snapdeal.com/product/genealo-cotton-blend-white-ethnic/618609395362
STC Denim Navy Jackets,,,,,"Rs. 1,099",Rs.  599,45% Off,4.0,(59),https://www.snapdeal.com/product/stc-denim-navy-jackets/666122511339
retrobella Denim Yellow Jackets,,,,,"Rs. 1,499",Rs.  638,57% Off,4.5,(22),https://www.snapdeal.com/product/retrobella-denim-yellow-jackets/651847813826
GENEALO Cotton Blend Yellow Jackets,,,,,Rs. 999,Rs.  599,40% Off,5.0,(1),https://www.snapdeal.com/product/genealo-cotton-blend-yellow-jackets/646395177306
STC Denim Blue Jackets,,,,,"Rs. 1,099",Rs.  599,45% Off,3.8,(21),https://www.snapdeal.com/product/stc-denim-blue-blazers/674405702438
GENEALO Cotton Blend White Jackets,,,,,Rs. 999,Rs.  599,40% Off,3.299999999999999,(3),https://www.snapdeal.com/product/genealo-cotton-blend-white-jackets/672295635712
STC Cotton Blend Black Jackets,,,,,Rs. 999,Rs.  599,40% Off,3.7,(27),https://www.snapdeal.com/product/stc-denim-black-jackets/623312559396
END EDGE Nylon Orange Hooded Jackets,,,,,"Rs. 3,599","Rs.  1,503",58% Off,4.3,(23),https://www.snapdeal.com/product/end-edge-nylon-orange-jackets/638910243059
GENEALO Denim Navy Jackets,,,,,"Rs. 1,099",Rs.  599,45% Off,,,https://www.snapdeal.com/product/genealo-denim-navy-jackets/624052163371
STC Denim Navy Jackets,,,,,"Rs. 1,999",Rs.  679,66% Off,3.7,(22),https://www.snapdeal.com/product/stc-denim-navy-jackets/662157120109
GENEALO Denim Blue Jackets,,,,,"Rs. 1,299",Rs.  679,48% Off,3.5,(4),https://www.snapdeal.com/product/genealo-denim-blue-jackets/647992443036
retrobella Cotton Blend Green Jackets,,,,,"Rs. 1,999",Rs.  638,68% Off,4.1,(15),https://www.snapdeal.com/product/retrobella-cotton-blend-green-jackets/626418943055
GENEALO Cotton Blend White Jackets,,,,,Rs. 999,Rs.  599,40% Off,4.0,(1),https://www.snapdeal.com/product/genealo-cotton-blend-white-jackets/626501623284
Campus Sutra Cotton Black Quiltted Jackets,,,,,"Rs. 2,099",Rs.  944,55% Off,4.3,(12),https://www.snapdeal.com/product/campus-sutra-cotton-quiltted-jackets/670404301876
GENEALO Denim Navy Jackets,,,,,"Rs. 1,299",Rs.  679,48% Off,,,https://www.snapdeal.com/product/genealo-denim-navy-ethnic-jacket/678384386270
GENEALO Cotton Blend Black Jackets,,,,,Rs. 999,Rs.  599,40% Off,4.0,(1),https://www.snapdeal.com/product/genealo-cotton-blend-black-jackets/636001002673
GENEALO Denim Blue Jackets,,,,,"Rs. 1,099",Rs.  599,45% Off,4.200000000000001,(16),https://www.snapdeal.com/product/genealo-denim-blue-jackets/662572804384
STC Denim Blue Jackets,,,,,"Rs. 1,099",Rs.  649,41% Off,5.0,(1),https://www.snapdeal.com/product/stc-denim-blue-jackets/681271070658
GENEALO Cotton Blend Black Jackets,,,,,Rs. 999,Rs.  599,40% Off,4.0,(1),https://www.snapdeal.com/product/genealo-cotton-blend-black-jackets/668968155421
GENEALO Denim Blue Jackets,,,,,"Rs. 1,099",Rs.  599,45% Off,,,https://www.snapdeal.com/product/genealo-denim-blue-ethnic-jacket/663057010200
GENEALO Cotton Blend Navy Ethnic Jacket,,,,,Rs. 999,Rs.  581,42% Off,,,https://www.snapdeal.com/product/genealo-cotton-blend-navy-ethnic/631022275990
GENEALO Cotton Blend Red Jackets,,,,,Rs. 999,Rs.  599,40% Off,,,https://www.snapdeal.com/product/genealo-cotton-blend-red-jackets/677349341471
GENEALO Denim Navy Jackets,,,,,"Rs. 1,099",Rs.  599,45% Off,4.0,(1),https://www.snapdeal.com/product/genealo-denim-navy-ethnic-jacket/634863105168
GENEALO Denim Blue Jackets,,,,,"Rs. 1,299",Rs.  679,48% Off,,,https://www.snapdeal.com/product/genealo-denim-blue-jackets/624451146429
GENEALO Cotton Blend Black Ethnic Jacket,,,,,Rs. 999,Rs.  599,40% Off,5.0,(1),https://www.snapdeal.com/product/genealo-cotton-blend-black-ethnic/684128946455
GENEALO Cotton Blend Green Ethnic Jacket,,,,,Rs. 999,Rs.  599,40% Off,,,https://www.snapdeal.com/product/genealo-cotton-blend-green-ethnic/644384508824
