name,badge_1,mrp,discounted_price,discount,rating,rating_count,link
Engineered  Wood Round Wall Mirror in Brown colour, Best Seller,"₹ 2,999","₹ 2,479",(17% Off),,,https://www.pepperfry.com/hosley-brown-wood-mdf-decorative-round-log-slices-carved-wall-mirror-1511205.html?type=search&pos=1:1&total_result=797&searchterm=&searchterm=wall mirror&as=0&cat=0
Glass Full Length Mirror in Transparent colour, Best Seller,"₹ 6,700","₹ 4,409",(34% Off),,,https://www.pepperfry.com/silver-glass-full-length-frameless-bevelled-decorative-wall-mirror-elegant-arts-1770708.html?type=search&pos=2:1&total_result=797&searchterm=&searchterm=wall mirror&as=0&cat=0
Engineered Wood Rectangle Wall Mirror in Brown colour, Best Seller,"₹ 2,629","₹ 1,759",(33% Off),,,https://www.pepperfry.com/999store-brown-fiber-decorative-wall-mirror-1509455.html?type=search&pos=3:1&total_result=797&searchterm=&searchterm=wall mirror&as=0&cat=0
MDF Rectangle Wall Mirror in Purple colour, ,"₹ 3,999","₹ 1,039",(74% Off),,,https://www.pepperfry.com/mdf-framed-purple-clouds-pattern-bathroom-mirror-l-14-w-1-h-20-inches-by-9-1779243.html?type=search&pos=4:1&total_result=797&searchterm=&searchterm=wall mirror&as=0&cat=0
Synthetic Wood Round Wall Mirror in Silver colour, Best Seller,"₹ 2,650","₹ 1,689",(36% Off),,,https://www.pepperfry.com/silver-glass-24-inch-round-frameless-bevelled-decorative-wall-mirror-by-elegant-a-1770704.html?type=search&pos=5:1&total_result=797&searchterm=&searchterm=wall mirror&as=0&cat=0
Synthetic Wood Rectangle Wall Mirror in White colour, ,"₹ 1,990","₹ 1,329",(33% Off),,,https://www.pepperfry.com/synthetic-wood-framed-white-rectangular-bathroom-mirror-l-19-7-w-2-8-h-33-5-1780891.html?type=search&pos=6:1&total_result=797&searchterm=&searchterm=wall mirror&as=0&cat=0
MDF Rectangle Wall Mirror in Purple colour, ,"₹ 5,999","₹ 1,769",(71% Off),,,https://www.pepperfry.com/999store-white-floral-art-pattern-bathroom-mirror-with-mdf-frame-1750349.html?type=search&pos=7:1&total_result=797&searchterm=&searchterm=wall mirror&as=0&cat=0
Round Wall Mirror in Gold Colour, ,"₹ 8,999","₹ 6,619",(26% Off),,,https://www.pepperfry.com/round-wall-mirror-in-gold-colour-1881328.html?type=search&pos=8:1&total_result=797&searchterm=&searchterm=wall mirror&as=0&cat=0
MDF Rectangle Wall Mirror in Multicolour colour, ,"₹ 4,999","₹ 1,559",(69% Off),,,https://www.pepperfry.com/mdf-framed-multi-color-abstract-pattern-bathroom-mirror-l-18-w-1-h-24-inche-1779228.html?type=search&pos=9:1&total_result=797&searchterm=&searchterm=wall mirror&as=0&cat=0
Metal Antique Round Wall Mirror In Yellow, Best Seller,"₹ 4,964","₹ 3,089",(38% Off),,,https://www.pepperfry.com/metal-antique-round-wall-mirror-in-yellow-by-malik-design-1845589.html?type=search&pos=10:1&total_result=797&searchterm=&searchterm=wall mirror&as=0&cat=0
Round Wall Mirror in Silver Colour, ,"₹ 9,999","₹ 8,119",(19% Off),,,https://www.pepperfry.com/round-wall-mirror-in-silver-colour-1882006.html?type=search&pos=11:1&total_result=797&searchterm=&searchterm=wall mirror&as=0&cat=0
Engineered Wood Rectangle Wall Mirror in Brown colour, ,"₹ 8,340","₹ 6,499",(22% Off),,,https://www.pepperfry.com/dark-brown-synthetic-decorative-mirror-by-elegant-arts-frames-1663501.html?type=search&pos=12:1&total_result=797&searchterm=&searchterm=wall mirror&as=0&cat=0
Mango Wood Round Wall Mirror in Yellow colour, ,"₹ 6,999","₹ 4,269",(39% Off),,,https://www.pepperfry.com/gold-mdf-decorative-handcrafted-wall-mirror-by-the-urban-store-1739022.html?type=search&pos=13:1&total_result=797&searchterm=&searchterm=wall mirror&as=0&cat=0
Synthetic Wood  Rectangle Wall Mirror in White Colour, ,"₹ 5,999","₹ 4,219",(30% Off),,,https://www.pepperfry.com/synthetic-wood-rectangle-wall-mirror-in-white-colour-1887745.html?type=search&pos=14:1&total_result=797&searchterm=&searchterm=wall mirror&as=0&cat=0
Glass Oval Wall Mirror in Silver colour, Best Seller,"₹ 2,200","₹ 1,429",(35% Off),,,https://www.pepperfry.com/silver-glass-frameless-oval-bevelled-decorative-wall-mirror-by-elegant-arts-fram-1770703.html?type=search&pos=15:1&total_result=797&searchterm=&searchterm=wall mirror&as=0&cat=0
Metal Round Wall Mirror in Silver colour, ,"₹ 5,315","₹ 5,239",(1% Off),,,https://www.pepperfry.com/metal-round-wall-mirror-in-gold-color-by-living-ideas-1825242.html?type=search&pos=16:1&total_result=797&searchterm=&searchterm=wall mirror&as=0&cat=0
Mango Wood Round Wall Mirror in Grey colour, ,"₹ 6,999","₹ 4,749",(32% Off),,,https://www.pepperfry.com/grey-mdf-decorative-and-handcrafted-wall-mirror-by-the-urban-store-1739032.html?type=search&pos=17:1&total_result=797&searchterm=&searchterm=wall mirror&as=0&cat=0
Sheesham  Wood Full Length Mirror in Brown colour , Best Seller,"₹ 10,099","₹ 9,709",(4% Off),,,https://www.pepperfry.com/aramika-rectangular-full-length-mirror-in-provicial-teak-finish-by-woodenmood-1679930.html?type=search&pos=18:1&total_result=797&searchterm=&searchterm=wall mirror&as=0&cat=0
Wooden Round Wall Mirror in Black colour, ,"₹ 1,619","₹ 1,109",(32% Off),,,https://www.pepperfry.com/multicolour-pinewood-mdf-peacock-wall-mirror-by-ddass-1743521.html?type=search&pos=19:1&total_result=797&searchterm=&searchterm=wall mirror&as=0&cat=0
Glass Rectangle Wall Mirror in Transparent colour, Best Seller,"₹ 2,200","₹ 1,429",(35% Off),,,https://www.pepperfry.com/glass-wall-mounted-bevelled-rectangular-shape-bathroom-mirror-l-6-3-w-1-2-h-1780877.html?type=search&pos=20:1&total_result=797&searchterm=&searchterm=wall mirror&as=0&cat=0
