name,badge_1,badge_2,badge_3,mrp,discounted_price,discount,rating,rating_count,link
Sage Green Casual Cotton Trouser,,,,1699,₹999,,,,
Wine Red Casual Cotton Trouser,BUY 2 GET 1,,,1699,₹899,,,,
Men All Over Printed Ethnic Pant,,,,1599,₹899,,,,
Charcoal Grey Casual Cotton Trouser,BUY 2 GET 1,,,1699,₹899,,,,
Desert Beige Casual Cotton Trouser,,,,1699,₹899,,,,
Men's Solid Side Tape Indo Fusion Pants,,,,1499,₹699,,,,
Men's All Over Printed Indo Fusion Pants,,,,1599,₹749,,,,
Jet Black Casual Cotton Trouser,,,,1699,₹1299,,,,
Dark Olive Casual Cotton Trouser,BUY 2 GET 1,,,1699,₹899,,,,
Men's Solid Side Tape Indo Fusion Pants,,,,1499,₹699,,,,
Men's Solid Black Tape Pants,,,,1599,₹749,,,,
Men's Charkha Printed Indo FusionPants,,,,1599,₹749,,,,
Men's All Over Printed Indo Fusion Pants,,,,1599,₹749,,,,
Men's Solid Side Tape Indo Fusion Pants,,,,1499,₹699,,,,
Dark Navy Men's Casual Pants,,LAST SIZES LEFT - SPECIAL PRICE,,1499,₹899,,,,
Dark Navy Blue Casual Cotton Trouser,BUY 1 GET 1,,,1699,₹1299,,,,
Wine Red Casual Cotton Pants,,,,999,₹699,,,,
Dark Navy Casual Cotton Pants,,LAST SIZES LEFT - SPECIAL PRICE,,999,₹699,,,,
Sky Blue Casual Cotton Trouser,,,,1699,₹999,,,,
Khaki Men's Casual Pants,,,,1499,₹999,,,,
Snitch Fleecy Khaki Chino,,,,,₹1499,,,,
