name,badge_1,mrp,discounted_price,discount,rating,rating_count,link
Pink Flower Print Halter Neck Onesies with Headband,,₹999,₹828,(17% off),,,https://www.hopscotch.in/product/668260/yoyoxiu-pink-flower-print-halter-neck-onesies-with-headband?funnel=Search&funnel_tile=onesie&funnel_section=Keyword&section=Keyword&plp=onesie&from_screen=search
VPK -  Multicolour Pack of 5 Onesies,1 left,₹999,₹784,(22% off),,,https://www.hopscotch.in/product/536204/tedmimak-vpk---multicolour-pack-of-5-onesies?funnel=Search&funnel_tile=onesie&funnel_section=Keyword&section=Keyword&plp=onesie&from_screen=search
Pink Heart Print Onesies with Headband,,₹819,₹551,(33% off),,,https://www.hopscotch.in/product/667747/yoyoxiu-pink-heart-print-onesies-with-headband?funnel=Search&funnel_tile=onesie&funnel_section=Keyword&section=Keyword&plp=onesie&from_screen=search
Black Sleeveless Lace Onesies For Girl's,,₹779,₹607,(22% off),,,https://www.hopscotch.in/product/791937/tnsc-black-sleeveless-lace-onesies-for-girl's?funnel=Search&funnel_tile=onesie&funnel_section=Keyword&section=Keyword&plp=onesie&from_screen=search
Floral Applique Sleeveless Onesies  - Red,,₹879,₹593,(33% off),,,https://www.hopscotch.in/product/841999/fuerjia-floral-applique-sleeveless-onesies---red?funnel=Search&funnel_tile=onesie&funnel_section=Keyword&section=Keyword&plp=onesie&from_screen=search
Pink Flower Lace Onesies with Headband,1 left,₹917,₹488,(47% off),,,https://www.hopscotch.in/product/665814/cat-papa-pink-flower-lace-onesies-with-headband?funnel=Search&funnel_tile=onesie&funnel_section=Keyword&section=Keyword&plp=onesie&from_screen=search
Lovely White Lace Onesies,1 left,₹989,₹526,(47% off),,,https://www.hopscotch.in/product/794174/yuzikou-lovely-white-lace-onesies?funnel=Search&funnel_tile=onesie&funnel_section=Keyword&section=Keyword&plp=onesie&from_screen=search
Floral Print Wing Sleeves White Onesie,1 left,₹899,₹598,(33% off),,,https://www.hopscotch.in/product/812321/yts-floral-print-wing-sleeves-white-onesie?funnel=Search&funnel_tile=onesie&funnel_section=Keyword&section=Keyword&plp=onesie&from_screen=search
Floral Applique Sleeveless Onesies - White,,₹879,₹729,(17% off),,,https://www.hopscotch.in/product/842000/fuerjia-floral-applique-sleeveless-onesies---white?funnel=Search&funnel_tile=onesie&funnel_section=Keyword&section=Keyword&plp=onesie&from_screen=search
VPK -  Multicolour Art Print Half Sleeve Onesies -Pack Of 5,1 left,"₹1,149",₹743,(35% off),,,https://www.hopscotch.in/product/773711/tedmimak-vpk---multicolour-art-print-half-sleeve-onesies--pack-of-5?funnel=Search&funnel_tile=onesie&funnel_section=Keyword&section=Keyword&plp=onesie&from_screen=search
Red Wing Sleeves With Square Neck Onesies For Girl's,1 left,₹869,₹586,(33% off),,,https://www.hopscotch.in/product/791951/tnsc-red-wing-sleeves-with-square-neck-onesies-for-girl's?funnel=Search&funnel_tile=onesie&funnel_section=Keyword&section=Keyword&plp=onesie&from_screen=search
Floral Applique Round Neck Onesies  - Pink,,"₹1,049",₹775,(26% off),,,https://www.hopscotch.in/product/843857/ddxx-floral-applique-round-neck-onesies---pink?funnel=Search&funnel_tile=onesie&funnel_section=Keyword&section=Keyword&plp=onesie&from_screen=search
Red Fruits With Floral Applique Onesies,1 left,₹749,₹429,(43% off),,,https://www.hopscotch.in/product/838178/wangdefu-red-fruits-with-floral-applique-onesies?funnel=Search&funnel_tile=onesie&funnel_section=Keyword&section=Keyword&plp=onesie&from_screen=search
VPK - Orange Printed Onesies - Pack Of 3,1 left,₹799,₹398,(50% off),,,https://www.hopscotch.in/product/796998/bumzee-vpk---orange-printed-onesies---pack-of-3?funnel=Search&funnel_tile=onesie&funnel_section=Keyword&section=Keyword&plp=onesie&from_screen=search
Multicolour Art Design Half Sleeve Onesies -Pack Of 5,1 left,"₹1,149",₹689,(40% off),,,https://www.hopscotch.in/product/773714/tedmimak-multicolour-art-design-half-sleeve-onesies--pack-of-5?funnel=Search&funnel_tile=onesie&funnel_section=Keyword&section=Keyword&plp=onesie&from_screen=search
White Animal With Bow Applique Onesies,,"₹1,029",₹645,(37% off),,,https://www.hopscotch.in/product/852522/yk-%26-loving-white-animal-with-bow-applique-onesies?funnel=Search&funnel_tile=onesie&funnel_section=Keyword&section=Keyword&plp=onesie&from_screen=search
White Animal Printed With Applique Onesies,,₹889,₹498,(44% off),,,https://www.hopscotch.in/product/838181/wangdefu-white-animal-printed-with-applique-onesies?funnel=Search&funnel_tile=onesie&funnel_section=Keyword&section=Keyword&plp=onesie&from_screen=search
Red Sleeveless Water Melon Printed Onesies,1 left,₹749,₹512,(32% off),,,https://www.hopscotch.in/product/838173/wangdefu-red-sleeveless-water-melon-printed-onesies?funnel=Search&funnel_tile=onesie&funnel_section=Keyword&section=Keyword&plp=onesie&from_screen=search
Red Watermelon Print Sleeveless Onesies With Cap,1 left,₹849,₹626,(26% off),,,https://www.hopscotch.in/product/837945/wangdefu-red-watermelon-print-sleeveless-onesies-with-cap?funnel=Search&funnel_tile=onesie&funnel_section=Keyword&section=Keyword&plp=onesie&from_screen=search
VPK -  Printed Half Sleeves Blue Onesies Pack Of 3,1 left,,₹799,,,,https://www.hopscotch.in/product/802960/bumzee-vpk---printed-half-sleeves-blue-onesies-pack-of-3?funnel=Search&funnel_tile=onesie&funnel_section=Keyword&section=Keyword&plp=onesie&from_screen=search
Text Print Half Sleeves White Onesies,1 left,₹699,₹394,(44% off),,,https://www.hopscotch.in/product/851945/floral-pig-text-print-half-sleeves-white-onesies?funnel=Search&funnel_tile=onesie&funnel_section=Keyword&section=Keyword&plp=onesie&from_screen=search
Wale Print Blue Onesies,1 left,,₹249,,,,https://www.hopscotch.in/product/635082/mom's-love-wale-print-blue-onesies?funnel=Search&funnel_tile=onesie&funnel_section=Keyword&section=Keyword&plp=onesie&from_screen=search
