name,badge_1,mrp,discounted_price,discount,rating,rating_count,link
M.A.C Magic Extension Mascara,FEATURED,,₹2550 ,,5.0,1,https://www.nykaa.com/m-a-c-magic-extension-mascara/p/1405114?ptype=product&productId=1405114&skuId=1405114&categoryId=241&pps=1
LOreal Paris Voluminous Lash Paradise Mascara - 204 Blackest...,FEATURED,₹799,₹679 ,15% off,4.3,5700,https://www.nykaa.com/l-oreal-paris-voluminous-lash-paradise-mascara/p/326824?ptype=product&productId=326824&skuId=326824&categoryId=241&pps=2
Lakme Eyeconic Curling Mascara,FEATURED,₹375,₹319 ,15% off,4.3,8087,https://www.nykaa.com/lakme-eyeconic-curling-mascara-108957/p/108957?ptype=product&productId=108957&skuId=108957&categoryId=241&pps=3
Kay Beauty Ultra Black Volume & Length Mascara - Midnight,FEATURED,₹799,₹679 ,15% off,4.5,1038,https://www.nykaa.com/kay-beauty-volume-length-mascara-midnight/p/692818?ptype=product&productId=692818&skuId=692818&categoryId=241&pps=4
Nykaa Lash Talk Volumizing Mascara,FEATURED,₹349,₹297 ,15% off,4.3,1833,https://www.nykaa.com/nykaa-lash-talk-volumizing-mascara/p/1133165?ptype=product&productId=1133165&skuId=1133165&categoryId=241&pps=5
Maybelline New York Volum Express Hyper Curl Mascara,BESTSELLER,₹399,₹339 ,15% off,4.4,45780,https://www.nykaa.com/maybelline-volum-express-hyper-curl-mascara/p/809?ptype=product&productId=809&skuId=809&categoryId=241&pps=6
Nykaa Lash Talk Like it Long Lengthening Mascara,OFFER,₹399,₹339 ,15% off,4.3,1833,https://www.nykaa.com/nykaa-lash-talk-volumizing-mascara/p/1133165?ptype=product&productId=1133165&skuId=889840&categoryId=241&pps=7
Maybelline New York The Colossal Volum Express Mascara,BESTSELLER,₹399,₹339 ,15% off,4.4,13805,https://www.nykaa.com/maybelline-the-colossal-volum-express-mascara/p/806?ptype=product&productId=806&skuId=806&categoryId=241&pps=8
Faces Canada Magneteyes Dramatic Volumizing Mascara Intense ...,BESTSELLER,₹399,₹339 ,15% off,4.3,2287,https://www.nykaa.com/faces-magneteyes-dramatic-volumizing-mascara-black/p/125335?ptype=product&productId=125335&skuId=125335&categoryId=241&pps=9
Maybelline New York The Colossal Mascara Waterproof - 001 Wa...,,₹399,₹339 ,15% off,4.4,13805,https://www.nykaa.com/maybelline-the-colossal-volum-express-mascara/p/806?ptype=product&productId=806&skuId=804&categoryId=241&pps=10
Nykaa Drama Eye Look Combo- Mascara + Eyeliner + Kajal,OFFER,₹897,₹650 ,28% off,4.3,27889,https://www.nykaa.com/nykaa-drama-eye-look-combo-mascara-eyeliner-kajal/p/1404068?ptype=product&productId=1404068&skuId=1404068&categoryId=241&pps=11
Benefit Cosmetics BADgal Bang! Mascara,,,₹1240 ,,4.5,389,https://www.nykaa.com/benefit-cosmetics-badgal-bang-mascara/p/728733?ptype=product&productId=728733&skuId=728733&categoryId=241&pps=12
Too Faced Damn Girl! Mascara,,,₹1050 ,,4.5,468,https://www.nykaa.com/too-faced-damn-girl-mascara-black/p/701798?ptype=product&productId=701798&skuId=701798&categoryId=241&pps=13
L'Oreal Paris False Lash Superstar Mascara - Black,,,₹940 ,,4.4,1718,https://www.nykaa.com/l-oreal-paris-faux-cils-superstar-mascara/p/62646?ptype=product&productId=62646&skuId=62646&categoryId=241&pps=14
Maybelline New York Falsies Lash Lift Mascara - Very Black,,₹549,₹467 ,15% off,4.4,421,https://www.nykaa.com/maybelline-new-york-falsies-lash-lift-mascara/p/880396?ptype=product&productId=880396&skuId=880396&categoryId=241&pps=15
