name,badge_1,badge_2,badge_3,mrp,discounted_price,discount,rating,rating_count,link
High Star Womens Blue Washed Slim Fit High Waist Jeans,,,,2199,₹749,,,,
Royal Blue Distressed Mid Rise Stretchable Women's Jeans,,,,1499,₹899,,,,
High Star Womens Black Washed Slim Fit High Waist Jeans,,,,2199,₹799,,,,
High Star Womens Blue Washed Slim Fit High Waist Jeans,,,,2199,₹799,,,,
High Star Womens Black Washed A-Line High Waist Skirt,,,,2199,₹699,,,,
Ribbon Blue Mid Rise Stretchable Women's Jeans,,,,1299,₹799,,,,
High Star Womens Black Washed Slim Fit Mid Waist Jeans,,,,2199,₹749,,,,
High Star Womens Blue Washed Slim Fit Mid Waist Jeans,,,,2199,₹749,,,,
High Star Womens Black Washed Slim Fit High Waist Jeans,,,,2199,₹799,,,,
High Star Womens Blue Washed Boot Cut Fit High Waist Jeans,,,,2199,₹749,,,,
Sky Blue Mid Rise Stretchable Women's Jeans,,,,1299,₹799,,,,
High Star Womens Blue Washed Slim Fit High Waist Jeans,,,,2199,₹749,,,,
High Star Womens Black Washed Slim Fit High Waist Jeans,,,,2199,₹749,,,,
High Star Womens Blue Washed Slim Fit High Waist Jeans,,,,2199,₹749,,,,
High Star Womens Blue Washed A-Line High Waist Skirt,,,,2199,₹699,,,,
Raven Black Blue Distressed Mid Rise Stretchable Women's Jeans,,,,1599,₹799,,,,
High Star Womens Blue Washed Boot Cut Fit High Waist Jeans,,,,2199,₹749,,,,
High Star Womens Grey Washed Slim Fit High Waist Jeggings,,,,1999,₹699,,,,
Jade Black Distressed Mid Rise Stretchable Women's Jeans,,,,1499,₹899,,,,
High Star Womens Blue Washed Slim Fit High Waist Jeggings,,,,1999,₹699,,,,
Backpack Blue Mid Rise Stretchable Women's Jeans,,,,1299,₹799,,,,
High Star Womens Blue Washed Slim Fit High Waist Jeans,,,,2199,₹799,,,,
High Star Womens White Washed Slim Fit Mid Waist Jeans,,,,2199,₹749,,,,
High Star Womens Blue Washed Slim Fit High Waist Jeans,,,,2199,₹799,,,,
High Star Womens Blue Washed Slim Fit High Waist Jeans,,,,2199,₹749,,,,
High Star Womens Blue Washed Slim Fit High Waist Jeans,,,,2199,₹749,,,,
High Star Womens Blue Washed A-Line High Waist Skirt,,,,2199,₹699,,,,
High Star Womens Blue Washed Slim Fit Mid Waist Jeans,,,,2199,₹749,,,,
High Star Womens Black Washed Slim Fit High Waist Jeggings,,,,1999,₹699,,,,
High Star Womens Blue Washed Slim Fit High Waist Jeggings,,,,1999,₹699,,,,
High Star Womens Blue Washed Slim Fit High Waist Jeans,,,,2199,₹749,,,,
Pool Blue Mid Rise Stretchable Women's Jeans,,LAST SIZES LEFT - SPECIAL PRICE,,1299,₹699,,,,
High Star Womens Blue Washed Slim Fit High Waist Jeans,,,,2199,₹749,,,,
High Star Womens White Washed Slim Fit High Waist,,,,2199,₹799,,,,
