name,badge_1,badge_2,badge_3,badge_4,mrp,discounted_price,discount,rating,rating_count,link
Bella Vita Organic Nico Lips Lightening and Brightening Dark Lip Balm Scrub Lip Balm Red Red SPF 1 20,,,,,Rs. 450,Rs.  399,11% Off,3.5999999999999996,(10),https://www.snapdeal.com/product/bella-vita-organic-nico-lips/641832865489#bcrumbSearch:lip%20balm
Lass Naturals Lip Balm,,,,,Rs. 135,Rs.  135,,4.699999999999999,(15),https://www.snapdeal.com/product/lass-naturals-peach-apricot-lip/1121926057#bcrumbSearch:lip%20balm
LA ORGANO Lip Balm Pink Rose 10,,,,,Rs. 299,Rs.  208,30% Off,4.5,(15),https://www.snapdeal.com/product/la-organo-lip-balm-pink/642880613613#bcrumbSearch:lip%20balm
"Tender Care Gift Box Rose, Original, Organic Honey Lip Balm Multi Pack of 3 45",,,,,"Rs. 1,249",Rs.  899,28% Off,4.3,(3),https://www.snapdeal.com/product/tender-care-gift-box-rose/651097174310#bcrumbSearch:lip%20balm
Organic Harvest Green Apple Lip Balm Green Pack of 2 20,,7 left!,,,Rs. 398,Rs.  345,13% Off,5.0,(1),https://www.snapdeal.com/product/organic-harvest-green-apple-lip/625763551147#bcrumbSearch:lip%20balm
ADS Strawberry Lip Balm Pink Megic 3 gm,,,,,Rs. 299,Rs.  206,31% Off,4.0,(6),https://www.snapdeal.com/product/ads-strawberry-lip-balm-pink/619689628742#bcrumbSearch:lip%20balm
"olvedic Lip Serum Advanced Brightening Therapy for Soft, Moisturised Lip Balm Pink 30",,,,,Rs. 400,Rs.  226,44% Off,3.7,(19),https://www.snapdeal.com/product/olvedic-advanced-brightening-therapy-for/672653303319#bcrumbSearch:lip%20balm
Avon Lip Balm Red 9,,,,,Rs. 398,Rs.  321,19% Off,3.7,(70),https://www.snapdeal.com/product/avon-naturals-lip-balms-strawberry/670865873015#bcrumbSearch:lip%20balm
Organic Harvest with SPF Lip Balm Yellow 20,,,,,Rs. 398,Rs.  345,13% Off,5.0,(1),https://www.snapdeal.com/product/organic-harvest-with-spf-lip/645947871283#bcrumbSearch:lip%20balm
ZODAK Lip Balm Pink SPF 15 Pack of 6 12,,,,,Rs. 600,Rs.  499,17% Off,,,https://www.snapdeal.com/product/zodak-lip-balm-pink-spf/685184939957#bcrumbSearch:lip%20balm
Mirah Belle Unisex Citrus Lip Balm Yellow 5,,,,,Rs. 295,Rs.  256,13% Off,3.0,(1),https://www.snapdeal.com/product/mirah-belle-citrus-lip-balm/663087316188#bcrumbSearch:lip%20balm
Organic Harvest Strawberry Lip Balm Red 10,,,,,Rs. 199,Rs.  179,10% Off,4.3,(61),https://www.snapdeal.com/product/organic-harvest-lip-balm-red/664044950967#bcrumbSearch:lip%20balm
ADS Good Choice India  Lip Balm 01754 Lip Balm Multi Pack of 4 5,,4 left!,,,Rs. 260,Rs.  232,11% Off,,,https://www.snapdeal.com/product/ads-good-choice-india-lip/669277913868#bcrumbSearch:lip%20balm
Organic Harvest (Lily) Lip Balm Pink 10,,,,,Rs. 199,Rs.  179,10% Off,4.200000000000001,(70),https://www.snapdeal.com/product/organic-harvest-lip-balm-pink/642238449263#bcrumbSearch:lip%20balm
"Mars Rosy Starwberry, Pink, Cherry  Lip Balm With Skin Whitening Cream 20ml Multi Pack of 3 4",,,,,Rs. 540,Rs.  252,53% Off,4.1,(25),https://www.snapdeal.com/product/mars-rosy-starwberry-pink-cherry/632902257039#bcrumbSearch:lip%20balm
Organic Harvest Rose Lip Balm Red 4,,,,,Rs. 199,Rs.  165,17% Off,3.5999999999999996,(12),https://www.snapdeal.com/product/organic-harvest-organic-harvest-lip/662767926798#bcrumbSearch:lip%20balm
Khadi Pure Natural Lip Balm Mix Lychee Chocolate Mint 30 gm,,,,,Rs. 435,Rs.  253,42% Off,,,https://www.snapdeal.com/product/khadi-pure-lip-balm-mix/672877680149#bcrumbSearch:lip%20balm
Organic Harvest Lip Balm Maroon 10,,,,,Rs. 199,Rs.  178,11% Off,4.1,(39),https://www.snapdeal.com/product/organic-harvest-lip-balm-maroon/648659411196#bcrumbSearch:lip%20balm
Herbline Natural Lip Protection Salve 8gm Lip Balm Mandrin Orange Pack of 3 8,,,,,Rs. 255,Rs.  213,16% Off,,,https://www.snapdeal.com/product/herbline-natural-lip-protection-salve/636573399642#bcrumbSearch:lip%20balm
Organic Harvest Organic Harvest Lip Butter Lily Lip Balm Pink 4,,,,,Rs. 199,Rs.  165,17% Off,4.0,(8),https://www.snapdeal.com/product/organic-harvest-organic-harvest-lip/678687152221#bcrumbSearch:lip%20balm
Organic Harvest Hibiscuss Lip Balm Red 10,,,,,Rs. 199,Rs.  179,10% Off,4.1,(50),https://www.snapdeal.com/product/organic-harvest-lip-balm-red/634204273999
Organic Harvest Green Apple Lip Balm Green 10,,,,,Rs. 199,Rs.  179,10% Off,4.1,(21),https://www.snapdeal.com/product/organic-harvest-lip-balm-green/638832260626
Glam21 16HRS Moisture Lip Balm With Aloevera Cream Pink SPF 30 Pack of 2 3,,,,,Rs. 500,Rs.  351,30% Off,,,https://www.snapdeal.com/product/glam21-16hrs-moisture-lip-balm/655708242896
Organic Harvest Shea Butter Lip Balm Yellow 10,,,,,Rs. 199,Rs.  179,10% Off,3.7,(15),https://www.snapdeal.com/product/organic-harvest-lip-balm-yellow/648506128664
"Mars Strawberry Shine Lip Balm (MK033-2), With Lilium Hand Cleanser Lip Balm Strawberry Pink Pack of 3 4",,,,,Rs. 702,Rs.  318,55% Off,,,https://www.snapdeal.com/product/mars-strawberry-shine-lip-balm/628584018408
Organic Harvest Hibiscus Lip Balm Red Pack of 2 20,,3 left!,,,Rs. 398,Rs.  345,13% Off,5.0,(3),https://www.snapdeal.com/product/organic-harvest-hibiscus-lip-balm/655253379550
"Mars Rosy Lips Peach Lip Balm (MK033-4), With Lilium Hand Cleanser Lip Balm Peach Pack of 3 4",,,,,Rs. 780,Rs.  329,58% Off,,,https://www.snapdeal.com/product/mars-rosy-lips-peach-lip/674896533204
Organic Harvest Shea Butter Lip Balm Yellow Pack of 2 20,,,,,Rs. 398,Rs.  345,13% Off,4.8,(4),https://www.snapdeal.com/product/organic-harvest-shea-butter-lip/640523858499
Glam21 Flavor  Strawberry Lip Balm LP121 Pink 3,,,,,Rs. 299,Rs.  232,22% Off,,,https://www.snapdeal.com/product/glam21-flavor-strawberry-lip-balm/620577161051
Organic Harvest Organic Harvest Lip Butter Lavender Lip Balm Purple 4,,6 left!,,,Rs. 199,Rs.  165,17% Off,,,https://www.snapdeal.com/product/organic-harvest-organic-harvest-lip/647400879662
Herbline Natural Lip Protection Salve 8gm Lip Balm Mandrin Orange Pack of 5 8,,,,,Rs. 425,Rs.  414,3% Off,,,https://www.snapdeal.com/product/herbline-natural-lip-protection-salve/638750660974
"Mars Cherry Kiss Shine Lip Balm (MK033-2), With Lilium Hand Cleanser Lip Balm Cherry Pack of 2 4",,,,,Rs. 468,Rs.  259,45% Off,,,https://www.snapdeal.com/product/mars-cherry-kiss-shine-lip/679797909010
MILAP Lip Balm Multi 4,,,,,Rs. 299,Rs.  205,31% Off,3.7,(3),https://www.snapdeal.com/product/milap-lip-balm-multi-4/652509587822
"Mars Rosy Lips Cherry Lip Balm (MK033-4), With Lilium Hand Cleanser Lip Balm Cherry Pack of 3 4",,,,,Rs. 780,Rs.  329,58% Off,,,https://www.snapdeal.com/product/mars-rosy-lips-cherry-lip/644919923172
