name,badge_1,mrp,discounted_price,discount,rating,rating_count,link
Fumio 4 Seater Dining Set in Walnut & Beige Finish, Best Seller,"₹ 42,999","₹ 23,999",(44% Off),,,https://www.pepperfry.com/fumio-four-seater-dining-set-in-walnut-beige-finish-by-casacraft-1761540.html?type=search&pos=1:1&total_result=374&searchterm=&searchterm=dining set&as=0&cat=0
Alice 6 Seater Dining Set in Antique Cherry Colour, ,"₹ 50,840","₹ 25,900",(49% Off),,,https://www.pepperfry.com/alice-six-seater-dining-set-in-antique-cherry-colour-by-home-1687994.html?type=search&pos=2:1&total_result=374&searchterm=&searchterm=dining set&as=0&cat=0
Moe 4 Seater Dining Set in Wenge Finish, Best Seller,"₹ 48,177","₹ 15,899",(67% Off),,,https://www.pepperfry.com/four-seater-dining-set-in-wenge-finish-by-mintwud-1191605.html?type=search&pos=3:1&total_result=374&searchterm=&searchterm=dining set&as=0&cat=0
Biscay Solid Wood 6 Seater Dining Set With Bench In Rustic Teak Finish, Best Seller,"₹ 90,999","₹ 51,999",(43% Off),,,https://www.pepperfry.com/biscay-solid-wood-6-seater-dining-set-with-bench-in-rustic-teak-finish-woodswor-1881559.html?type=search&pos=4:1&total_result=374&searchterm=&searchterm=dining set&as=0&cat=0
Moe 4 Seater Dining Set in Walnut Finish, Best Seller,"₹ 48,177","₹ 15,899",(67% Off),,,https://www.pepperfry.com/four-seater-dining-set-in-walnut-finish-by-mintwud-1191606.html?type=search&pos=5:1&total_result=374&searchterm=&searchterm=dining set&as=0&cat=0
Etsuko 4 Seater Dining Set in Walnut & Dark Grey Finish, Best Seller,"₹ 36,362","₹ 18,999",(48% Off),,,https://www.pepperfry.com/etsuko-four-seater-dining-set-in-walnut-dark-grey-finish-by-mintwud-1761537.html?type=search&pos=6:1&total_result=374&searchterm=&searchterm=dining set&as=0&cat=0
Detroit 4 Seater Dining Set in Brown Colour, ,"₹ 20,799","₹ 16,699",(20% Off),,,https://www.pepperfry.com/detroit-four-seater-dining-set-by-furniturekraft-1665979.html?type=search&pos=7:1&total_result=374&searchterm=&searchterm=dining set&as=0&cat=0
Elite 6 Seater Dining Set in Rosewood Finish, Best Seller,"₹ 28,999","₹ 19,999",(31% Off),,,https://www.pepperfry.com/six-seater-dining-set-in-wenge-finish-by-parin-1472301.html?type=search&pos=8:1&total_result=374&searchterm=&searchterm=dining set&as=0&cat=0
Crown 6 Seater Dining Set in Brown Finish, ,"₹ 79,900","₹ 49,900",(38% Off),,,https://www.pepperfry.com/crown-6-seater-dining-set-in-brown-finish-by-home-1815933.html?type=search&pos=9:1&total_result=374&searchterm=&searchterm=dining set&as=0&cat=0
Anitz Solid Wood 6 Seater Dining Set in Provincial Teak Finish, ,"₹ 99,999","₹ 62,999",(37% Off),,,https://www.pepperfry.com/anitz-solid-wood-six-seater-dining-set-in-provincial-teak-finish-by-woodsworth-1764118.html?type=search&pos=10:1&total_result=374&searchterm=&searchterm=dining set&as=0&cat=0
Olwen 6 Seater Dining Table Set in Rosewood Finish, ,"₹ 1,10,600","₹ 66,360",(40% Off),,,https://www.pepperfry.com/olwen-6-seater-dining-table-set-in-rosewood-finish-by-durian-1876337.html?type=search&pos=11:1&total_result=374&searchterm=&searchterm=dining set&as=0&cat=0
Enkel Solid Wood 6 Seater Dining Set in Warm Chestnut Finish, ,"₹ 92,999","₹ 67,999",(27% Off),,,https://www.pepperfry.com/enkel-six-seater-dining-set-in-warm-chestnut-finish-by-woodsworth-1597234.html?type=search&pos=12:1&total_result=374&searchterm=&searchterm=dining set&as=0&cat=0
Haruka 6 Seater Dining Set in Walnut & Sandy Brown Finish, Best Seller,"₹ 1,37,999","₹ 69,999",(49% Off),,,https://www.pepperfry.com/haruka-six-seater-dining-set-in-walnut-sandy-brown-finish-by-casacraft-1761547.html?type=search&pos=13:1&total_result=374&searchterm=&searchterm=dining set&as=0&cat=0
Magdalena 6 seater Dining Set in Brown Colour, ,"₹ 48,999","₹ 41,999",(14% Off),,,https://www.pepperfry.com/magdalena-6-seater-dining-set-in-brown-colour-by-casacraft-1761575.html?type=search&pos=14:1&total_result=374&searchterm=&searchterm=dining set&as=0&cat=0
Argo 4 Seater Dining Set Wenge Colour, ,"₹ 18,300","₹ 13,999",(24% Off),,,https://www.pepperfry.com/argo-4-seater-dining-set-wenge-colour-by-nilkamal-1846373.html?type=search&pos=15:1&total_result=374&searchterm=&searchterm=dining set&as=0&cat=0
Jenna Dining Set In Black, ,"₹ 40,800","₹ 20,400",(50% Off),,,https://www.pepperfry.com/jenna-dining-set-in-black-by-durian-1890207.html?type=search&pos=16:1&total_result=374&searchterm=&searchterm=dining set&as=0&cat=0
