name,badge_1,badge_2,badge_3,mrp,discounted_price,discount,rating,rating_count,link
Jet Black Men's Ottoman Panel Jogger,BUY 1 GET 1,,,1399,₹999,,,,
Care Free Cargo Joggers Pants,,COLOR OF THE MONTH,,1599,₹749,,,,
Mickey Silhouette AOP Joggers (DL),,,,1399,₹799,,,,
Jet Black Plus Size Casual Jogger Pants,BUY 2 GET 1,,,1299,₹999,,,,
Men's Melange Joggers,BUY 2 GET 1,,,1149,₹799,,,,
Men's True Indigo Joggers with Side Tape,,,,1999,₹899,,,,
Atlantic Deep Basic Jogger Pants,,,,1299,₹799,,,,
Men's Melange Zipper Joggers,BUY 1 GET 1,,,1249,₹899,,,,
Dark Grey Plus Size Casual Jogger Pants,BUY 2 GET 1,,,1299,₹899,,,,
Dark Olive Cotton Jogger Pants,BUY 2 GET 1,,,1699,₹899,,,,
Pageant Blue Men's Drop Crotch Joggers,BUY 1 GET 1,,,1299,₹1199,,,,
Men's True Indigo Joggers,,,,1499,₹799,,,,
Atlantic Deep Men's Core Joggers,BUY 2 GET 1,,,1299,₹849,,,,
Dark Navy Chino Joggers,,,,1499,₹1049,,,,
KKR Logo 2.0 Basic Casual Joggers,BUY 1 GET 1,,,1499,₹1399,,,,
Sage Green Cotton Jogger Pants,,,,1699,₹1049,,,,
Plain Badge Joggers,BUY 1 GET 1,,,1399,₹999,,,,
Desert Beige Cotton Jogger Pants,BUY 2 GET 1,,,1699,₹899,,,,
Men's Melange Joggers,BUY 2 GET 1,,,1149,₹799,,,,
Plain  Casual Color Block Jogger Pant,BUY 1 GET 1,,,1399,₹999,,,,
Plain Casual Colour Block Jogger Pant,BUY 1 GET 1,,,1399,₹999,,,,
Black Basic Jogger Pants,,,,1299,₹999,,,,
Dark Forest Green Zipper Jogger,BUY 2 GET 1,,,1299,₹799,,,,
Charcoal Grey Cotton Joggers Pants,BUY 2 GET 1,,,1699,₹899,,,,
Navy Blue Zipper Jogger,BUY 2 GET 1,,,1299,₹899,,,,
Dark Navy-Neon Green Reflector Jogger,BUY 2 GET 1,,,1699,₹849,,,,
Sky Blue Casual Jogger Pants With Zipper,BUY 2 GET 1,,,1299,₹999,,,,
Dark Red Plus Size Casual Jogger Pants,BUY 1 GET 1,,,1299,₹899,,,,
Pageant Blue Basic Jogger Pants,BUY 2 GET 1,,,1299,₹799,,,,
White Pride Side Panel Jogger's,,,,1399,₹899,,,,
Men's Solid Plain Jogger Pant,,,,1299,₹849,,,,
Dark Maroon Jogger Pants,BUY 2 GET 1,,,1299,₹899,,,,
Men's Melange Zipper Joggers,BUY 1 GET 1,,,1249,₹899,,,,
Men's Melange Zipper Joggers,BUY 1 GET 1,,,1249,₹899,,,,
Sky Blue Casual Jogger Pant,BUY 2 GET 1,,,999,₹899,,,,
Men's Melange Zipper Joggers,BUY 1 GET 1,,,1249,₹899,,,,
Marvel Joggers (AVL),BUY 1 GET 1,,FEW LEFT,1699,₹1199,,,,
Men's Drop Crotch Plain Joggers Pant,BUY 2 GET 1,,,1299,₹849,,,,
Men's Melange Joggers,BUY 2 GET 1,,,1149,₹799,,,,
Light Grey Zipper Jogger,BUY 2 GET 1,,,1299,₹899,,,,
Royal Logo Side Tape Casual Joggers,,,,1499,₹799,,,,
Wine Red Cotton Jogger Pants,BUY 2 GET 1,,,1699,₹899,,,,
Superman minimal (SML) AOP Jogger Pants,,,,1399,₹799,,,,
Sky Blue Cotton Jogger Pants,,,,1699,₹899,,,,
Men's Cut and Sew Joggers,,,,1599,₹1049,,,,
Pageant Blue Drop Crotch Joggers Pant,BUY 2 GET 1,,,1299,₹899,,,,
Beach Blue Color Block Joggers,,,,1399,₹799,,,,
Men's Melange Joggers,BUY 2 GET 1,LAST SIZES LEFT - SPECIAL PRICE,,1149,₹899,,,,
Jet Black Cotton Jogger Pants,,,,1699,₹1299,,,,
Hashtag Blue Sport Trim Jogger,BUY 2 GET 1,,,1949,₹899,,,,
Beach Blue Color Block Joggers,,,,1299,₹799,,,,
Plain Cargo Zipper joggers,,,,1899,₹1449,,,,
Navy Blue Cotton Joggers Pants,,,,1699,₹1249,,,,
Olive Camo White Stripe Casual Jogger,,,,1499,₹799,,,,
Coca-Cola Color Block Jogger,,,,,₹799,,,,
Navy Blue Casual Jogger Pant,BUY 1 GET 1,,,1399,₹999,,,,
India ink Casual Jogger Pant,BUY 1 GET 1,,,1399,₹999,,,,
Genius by Birth Color Block Joggers,BUY 2 GET 1,,FEW LEFT,1399,₹999,,,,
Nimbus Grey men's Joggers,BUY 1 GET 1,,FEW LEFT,,₹999,,,,
Jet Black Casual Jogger Pants With Zipper,BUY 2 GET 1,,,1299,₹999,,,,
Dark Forest Green Casual Jogger Pant,BUY 1 GET 1,,,,₹999,,,,
Black Camo Neon Stripe Casual Jogger,,,,1499,₹799,,,,
Re - Imagined Side Panel Joggers,BUY 2 GET 1,,,1599,₹899,,,,
Dark Maroon Casual Jogger Pant,BUY 2 GET 1,,,999,₹899,,,,
Charcoal Grey Jogger Pants With Zipper,BUY 2 GET 1,,,1299,₹999,,,,
Captain America Hyper Print Joggers (AVL) Black,,,FEW LEFT,1699,₹1049,,,,
Navy Blue Plus Size Color Block Jogger Pants,BUY 2 GET 1,,,1399,₹999,,,,
Dark Grey Jogger Pants With Zipper,BUY 2 GET 1,,,1299,₹999,,,,
School Ruined My Life AOP Joggers,,,,1399,₹799,,,,
Fugazee Black Rainbow Reflective Patched Trackpants,,,FEW LEFT,2299,₹1699,,,,
Fugazee Black Jogger With Plaid Oversized Pockets,,,FEW LEFT,1599,₹1199,,,,
Batman Badge Jogger Pants,BUY 2 GET 1,,FEW LEFT,1399,₹899,,,,
Campus Sutra Men Stylish Striped Casual & Evening Trackpants,,,,1799,₹1079,,,,
Fugazee Black Checkered Flames Patch Jogger,,,FEW LEFT,1499,₹1274,,,,
Status Quo White Track,,,,1499,₹999,,,,
Pageant Blue Men's Core Joggers,BUY 2 GET 1,,,1299,₹849,,,,
Fugazee Red Plaid Caution Tape Trackpant,,,FEW LEFT,1999,₹1399,,,,
Meteor Grey Men's Plain Casual Jogger With Elastic at Ankle,,,,1399,₹1049,,,,
Charcoal Grey Plus Size Casual Jogger Pants,,,,1299,₹799,,,,
Fugazee Lilac Yellow Patched Trackpants,,,,1999,₹1399,,,,
Peageant Blue Men's Plain Casual Jogger With Elastic at Ankle,,,,1399,₹1049,,,,
Fugazee Forest Green Snake Patched Sweatpant,,,,1499,₹1124,,,,
Campus Sutra men's Stylish Grey Trackpants,,,,1699,₹1019,,,,
Light Beige Mens's Chino Joggers,,,,1499,₹1049,,,,
Black Men's Plain Casual Jogger With Elastic at Ankle,,,,1399,₹1049,,,,
Kkr Est 2008 Joggers,BUY 1 GET 1,,,1499,₹1399,,,,
Charcoal Grey Cotton Joggers Pants,,LAST SIZES LEFT - SPECIAL PRICE,,999,₹699,,,,
Retro Red Sports Trim Joggers,,,,1499,₹799,,,,
Retro Red Side Panel Joggers,,,,1499,₹799,,,,
Fugazee Plum Overzised Taped Trackpants,,,FEW LEFT,1999,₹1299,,,,
Yolo Yellow Tape Color Block Joggers,,,FEW LEFT,1299,₹899,,,,
Captain America Moss Green Badge Joggers,BUY 2 GET 1,,,1399,₹899,,,,
Jet Black Diagonal Pocket Joggers,BUY 2 GET 1,,,1399,₹999,,,,
Navy Blue Casual Jogger Pants,BUY 2 GET 1,,FEW LEFT,,₹899,,,,
Fugazee Caution Tapped Sweatpant,,,,1599,₹1199,,,,
Status Quo Black Plain Joggers,,,FEW LEFT,1599,₹999,,,,
Arcade Green Chino Jogger,BUY 2 GET 1,,,1399,₹1049,,,,
Black Men's Drop Crotch Joggers,BUY 2 GET 1,,,1299,₹849,,,,
Men Contrast Velcro Detailed Color Block White Joggers,,LAST SIZES LEFT - SPECIAL PRICE,,1299,₹699,,,,
Color Don't Bother AOP Joggers,BUY 2 GET 1,,,1499,₹899,,,,
