name,badge_1,badge_2,badge_3,badge_4,mrp,discounted_price,discount,rating,rating_count,link
Rock Light AC Touch Dimmer Plastic Table Lamp - Pack of 1,,,,,"Rs. 1,499",Rs.  499,67% Off,4.200000000000001,(49),https://www.snapdeal.com/product/rock-light-touch-dimmer-plastic/666924346963#bcrumbSearch:table%20lamp
WHITE ASHWA STAR LIGHT PROJECTOR LAMP Plastic Table Lamp - Pack of 1,,,,,Rs. 999,Rs.  699,30% Off,4.0,(75),https://www.snapdeal.com/product/white-ashwa-star-light-projector/659352505889#bcrumbSearch:table%20lamp
BillieJean 777 Aluminium Table Lamp - Pack of 1,,,,,Rs. 999,Rs.  599,40% Off,5.0,(1),https://www.snapdeal.com/product/billiejean-777-aluminium-table-lamp/664457369183#bcrumbSearch:table%20lamp
BillieJean d1 Aluminium Table Lamp - Pack of 1,,,,,Rs. 999,Rs.  575,42% Off,3.8,(4),https://www.snapdeal.com/product/billiejean-d1-aluminium-table-lamp/628472234106#bcrumbSearch:table%20lamp
Somil Glass Table Lamp - Pack of 1,,,,,"Rs. 2,339",Rs.  675,71% Off,,,https://www.snapdeal.com/product/somil-14-glass-table-lamp/661343800252#bcrumbSearch:table%20lamp
EmmEmm Portable Flexible Usb Led Night Light Table Lamp Plastic Table Lamp - Pack of 1,,,,,Rs. 800,Rs.  299,63% Off,4.1,(7),https://www.snapdeal.com/product/emmemm-cordless-foldable-rechargeable-study/680227844689#bcrumbSearch:table%20lamp
Rock Light New 5 in 1 Study Lamp Plastic Table Lamp - Pack of 1,,,,,Rs. 999,Rs.  799,20% Off,4.3,(10),https://www.snapdeal.com/product/rock-light-new-5-in/636021789788#bcrumbSearch:table%20lamp
BillieJean Pixar Aluminium Table Lamp - Pack of 1,,,,,Rs. 999,Rs.  605,39% Off,5.0,(1),https://www.snapdeal.com/product/billiejean-pixar-aluminium-table-lamp/618686942819#bcrumbSearch:table%20lamp
Jeeya Led Study Night lamp Table Top Lanterns - Pack of 1,,,,,"Rs. 1,000",Rs.  519,48% Off,4.0,(293),https://www.snapdeal.com/product/jeeya-led-study-night-lamp/644861294146#bcrumbSearch:table%20lamp
Rock Light Rechargeable LED Touch On/Off Switch Desk Lamp Plastic Table Lamp - Pack of 1,,,,,"Rs. 1,499",Rs.  725,52% Off,4.6000000000000005,(9),https://www.snapdeal.com/product/rock-light-rechargeable-led-touch/620297864257#bcrumbSearch:table%20lamp
Callmate Aluminium Table Lamp - Pack of 1,,,,,"Rs. 1,299",Rs.  519,60% Off,,,https://www.snapdeal.com/product/callmate-aluminium-table-lamp-pack/684716207460#bcrumbSearch:table%20lamp
BillieJean Aluminium Table Lamp - Pack of 1,,,,,Rs. 999,Rs.  599,40% Off,4.699999999999999,(3),https://www.snapdeal.com/product/billiejean-aluminium-table-lamp-pack/660377665612#bcrumbSearch:table%20lamp
J Group Robotics Lunar Moon 14 Plastic Table Lamp - Pack of 1,,,,,"Rs. 1,299",Rs.  869,33% Off,4.3,(15),https://www.snapdeal.com/product/j-group-robotics-lunar-moon/619752407278#bcrumbSearch:table%20lamp
"SHOPOPOYE Reading Light for Book,Study Table Night Reading Lamp for in Bedroom,Bed Side Rechargeable USB LED Clip on with 9 LEDs and 3 Modes",,,,,"Rs. 1,899",Rs.  899,53% Off,,,https://www.snapdeal.com/product/shopopoye-rechargeable-reading-light-with/646068341669#bcrumbSearch:table%20lamp
Jungli Store LED TABLE LAMP FOR STUDY-8888 Plastic Table Lamp - Pack of 1,,5 left!,,,"Rs. 1,000",Rs.  549,45% Off,4.0,(1),https://www.snapdeal.com/product/jungli-store-led-table-lamp/642099186560#bcrumbSearch:table%20lamp
Philips Breeze LED Table Lamp Desk Light ,,4 left!,,,"Rs. 1,200","Rs.  1,149",4% Off,3.5999999999999996,(46),https://www.snapdeal.com/product/philips-37-plastic-table-lamp/680954230954#bcrumbSearch:table%20lamp
BillieJean Aluminium Table Lamp - Pack of 1,,,,,Rs. 999,Rs.  575,42% Off,5.0,(1),https://www.snapdeal.com/product/billiejean-aluminium-table-lamp-pack/686481264765#bcrumbSearch:table%20lamp
