name,badge_1,badge_2,badge_3,badge_4,mrp,discounted_price,discount,rating,rating_count,link
WOW Skin Science Charcoal Foaming Face Wash Built-In Brush for deep cleansing Face Wash 100 mL,,,17 orders in last 1 day,,Rs. 399,Rs.  329,18% Off,4.1,(211),https://www.snapdeal.com/product/wow-skin-science-charcoal-foaming/672121602444#bcrumbSearch:face%20brush
Glamveda Rice Water Foaming Face Wash With Soft Silicone Brush Face Wash 150 mL,,,,,Rs. 410,Rs.  279,32% Off,4.699999999999999,(3),https://www.snapdeal.com/product/glamveda-rice-water-foaming-face/674005370589#bcrumbSearch:face%20brush
WOW Skin Science Coconut Hydrating Foaming Face Wash with Built-In Face Brush Face Wash 100 mL,,,,,Rs. 449,Rs.  329,27% Off,4.0,(32),https://www.snapdeal.com/product/wow-skin-science-coconut-hydrating/639884945637#bcrumbSearch:face%20brush
WOW Skin Science Aloe Vera Foaming Face Wash With Built-In Brush for deep cleansing Face Wash 100 mL,,,,,Rs. 399,Rs.  329,18% Off,4.1,(296),https://www.snapdeal.com/product/wow-skin-science-aloe-vera/633091353031#bcrumbSearch:face%20brush
Globus Apple Cider Vinegar foaming Face Wash with Built in Face Brush Face Wash 150 mL,,,,,Rs. 430,Rs.  369,14% Off,4.0,(3),https://www.snapdeal.com/product/globus-apple-cider-vinegar-foaming/656611875597#bcrumbSearch:face%20brush
WOW Skin Science Aloe Vera With Pro Vitamin B5 Hydrating with Built-In Face Brush Face Wash 100 mL,,,,,Rs. 399,Rs.  199,50% Off,4.3,(9),https://www.snapdeal.com/product/wow-skin-science-aloe-vera/624892280978#bcrumbSearch:face%20brush
WOW Skin Science Activated Charcoal Face Wash GEL with Built-In Face Brush Face Wash 100 mL,,,,,Rs. 399,Rs.  199,50% Off,4.4,(22),https://www.snapdeal.com/product/wow-skin-science-activated-charcoal/657544326674#bcrumbSearch:face%20brush
Ear Lobe & Accessories Combo Set (Hair Band & Face Brush) Facial Kit L,,,,,Rs. 399,Rs.  209,48% Off,3.7,(7),https://www.snapdeal.com/product/ear-lobe-accessories-combo-set/649032165934#bcrumbSearch:face%20brush
"RTB Beauty Blender Contour, brush with Charcoal Face Mask Cream 130 gm Pack of 2",,,,,Rs. 499,Rs.  299,40% Off,2.0,(2),https://www.snapdeal.com/product/rtb-beauty-blender-contour-brush/637063183047#bcrumbSearch:face%20brush
Glamveda Kesar Chandan  Ubtan Face Wash With Soft Silicone Brush Face Wash 150 mL,,,,,Rs. 410,Rs.  279,32% Off,5.0,(1),https://www.snapdeal.com/product/glamveda-kesar-chandan-ubtan-face/636350990126#bcrumbSearch:face%20brush
Glamveda Vitamin C Face Wash With Soft Silicone Brush Face Wash 150 mL,,,,,Rs. 410,Rs.  279,32% Off,1.0,(1),https://www.snapdeal.com/product/glamveda-vitamin-c-face-wash/678161814472#bcrumbSearch:face%20brush
Man Arden Anti Acne Neem Foaming Face Wash With Brush 120ml + Face Scrub Facial Kit mL,,,,,Rs. 698,Rs.  599,14% Off,,,https://www.snapdeal.com/product/man-arden-anti-acne-neem/655696258604#bcrumbSearch:face%20brush
Kryolan Supracolor 12 Shades Cream Concealer + Oval Brush Medium 40 mL,,,,Featured,Rs. 2500,Rs. 1750,30% Off,0.0,,https://clk.snapdeal.biz/rtb/clickTracker/0/3856237650?slotId=19&slotName=sd-cr-198X232-1-4&campaignId=973856&websiteId=1&position=&trackerId=10.70.96.17:3f900732-698e-46a0-b5ce-86cdbd291ea3:1&category=generic_search&supcCat=make-up-face-concealers&page=slp&accId=82155&siteId=101&sdId=162619476994981003&eId=&dId=&sellerCode=S068f3&supc=SDL114831608&pogId=655794307580&brand=Kryolan&metricsType=CPC&fp=0.0&type=product&acos=0.0&exp=&billingType=prepaid&servingSystem=null&refTag=search_ad&as=4200000&pr=2940000&ct=https%3A%2F%2Fwww.snapdeal.com%2Fproduct%2Fkryolan-supracolor-12-shades-cream%2F655794307580%3FvendorCode%3DS068f3%26pa%3Dtrue%26fv%3Dtrue%26supc%3DSDL114831608%26utm_campaign%3Dnull%26utm_medium%3DProductAds%26isSellerPage%3Dtrue
Kryolan SUPRACOLOR 12SET BASE +BRUSH Cream Foundation Light Pack of 2 40 g,,,,Featured,Rs. 2500,Rs. 1650,34% Off,0.0,,https://clk.snapdeal.biz/rtb/clickTracker/0/3856237651?slotId=19&slotName=sd-cr-198X232-1-4&campaignId=973856&websiteId=1&position=&trackerId=10.70.96.17:3f900732-698e-46a0-b5ce-86cdbd291ea3:2&category=generic_search&supcCat=make-up-face-foundation&page=slp&accId=82155&siteId=101&sdId=162619476994981003&eId=&dId=&sellerCode=S068f3&supc=SDL731394036&pogId=647561131938&brand=Kryolan&metricsType=CPC&fp=0.0&type=product&acos=0.0&exp=&billingType=prepaid&servingSystem=null&refTag=search_ad&as=4200000&pr=2940000&ct=https%3A%2F%2Fwww.snapdeal.com%2Fproduct%2Fkryolan-supracolor-12set-base-brush%2F647561131938%3FvendorCode%3DS068f3%26pa%3Dtrue%26fv%3Dtrue%26supc%3DSDL731394036%26utm_campaign%3Dnull%26utm_medium%3DProductAds%26isSellerPage%3Dtrue
Zlade Shaving Brush SHAVE PREP Pack of 2,,,,Featured,Rs. 569,Rs. 399,21% Off,0.0,,https://clk.snapdeal.biz/rtb/clickTracker/0/3850404186?slotId=19&slotName=sd-cr-198X232-1-4&campaignId=1288459&websiteId=1&position=&trackerId=10.70.96.17:3f900732-698e-46a0-b5ce-86cdbd291ea3:3&category=generic_search&supcCat=men-grooming-shaving-brushes&page=slp&accId=129895&siteId=101&sdId=162619476994981003&eId=&dId=&sellerCode=Scd804&supc=SDL416395433&pogId=626800829753&brand=Zlade&metricsType=CPC&fp=0.0&type=product&acos=0.0&exp=&billingType=prepaid&servingSystem=null&refTag=search_ad&as=3000000&pr=2100000&ct=https%3A%2F%2Fwww.snapdeal.com%2Fproduct%2Fzlade-shaving-brush-shave-prep%2F626800829753%3FvendorCode%3DScd804%26pa%3Dtrue%26fv%3Dtrue%26supc%3DSDL416395433%26utm_campaign%3Dnull%26utm_medium%3DProductAds%26isSellerPage%3Dtrue
PINK WOOLF Shaving Brush with Stand Large,,,,Featured,Rs. 1099,Rs. 899,18% Off,0.0,,https://clk.snapdeal.biz/rtb/clickTracker/0/3857769165?slotId=19&slotName=sd-cr-198X232-1-4&campaignId=1222433&websiteId=1&position=&trackerId=10.70.96.17:3f900732-698e-46a0-b5ce-86cdbd291ea3:4&category=generic_search&supcCat=men-grooming-shaving-brushes&page=slp&accId=140577&siteId=101&sdId=162619476994981003&eId=&dId=&sellerCode=Sa246a&supc=SDL809764932&pogId=654181962872&brand=PINK+WOOLF&metricsType=CPC&fp=0.0&type=product&acos=0.0&exp=&billingType=prepaid&servingSystem=null&refTag=search_ad&as=3300000&pr=2310000&ct=https%3A%2F%2Fwww.snapdeal.com%2Fproduct%2Fpink-woolf-shaving-brush-with%2F654181962872%3FvendorCode%3DSa246a%26pa%3Dtrue%26fv%3Dtrue%26supc%3DSDL809764932%26utm_campaign%3Dnull%26utm_medium%3DProductAds%26isSellerPage%3Dtrue
Ear Lobe & Accessories Face Sponge 2pcs + T Face Brush 1pc Facial Kit g,,,,,Rs. 399,Rs.  289,28% Off,3.0,(1),https://www.snapdeal.com/product/ear-lobe-accessories-face-pack/634379177776#bcrumbSearch:face%20brush
"Oriental Botanics Rivayat Ubtan Foaming Face Wash with Built-in Brush, 120ml Face Wash 120 mL",,,,,Rs. 499,Rs.  469,6% Off,5.0,(3),https://www.snapdeal.com/product/oriental-botanics-rivayat-ubtan-foaming/622420831593#bcrumbSearch:face%20brush
Man Arden Anti-Acne Neem Foaming Face Wash with Built-in Brush Face Wash 120 mL,,,,,Rs. 399,Rs.  369,8% Off,5.0,(1),https://www.snapdeal.com/product/man-arden-antiacne-neem-foaming/658061492563#bcrumbSearch:face%20brush
Ear Lobe & Accessories Hair Roller 3pcs & TFace Brush 1pcs Facial Kit g,,,,,Rs. 499,Rs.  269,46% Off,4.5,(2),https://www.snapdeal.com/product/ear-lobe-accessories-hair-roller/644486964090#bcrumbSearch:face%20brush
