name,badge_1,mrp,discounted_price,discount,rating,rating_count,link
"Tulika Bedsheet Set (Beige, Single Size)",,,"₹1,399",,,,https://www.urbanladder.com/products/tulika-bedsheet-set?sku=HDBLBOCTSBGN253&src=room
"Tulika Bedsheet Set (Beige, Double Size)",,,"₹2,299",,,,https://www.urbanladder.com/products/tulika-bedsheet-set?sku=HDBLBPCTDBGN253&src=room
"Surkh Bedsheet Set (Red, Single Size)",,,"₹1,399",,,,https://www.urbanladder.com/products/surkh-bedsheet-set?sku=HDBLBPCTKBRN292&src=room
"Surkh Bedsheet Set (Red, Double Size)",,,"₹2,199",,,,https://www.urbanladder.com/products/surkh-bedsheet-set?sku=HDBLBPCTKBRN293&src=locations-home-decor
"Aadoo Bedsheet Set (Pink, Double Size)",,,"₹2,299",,,,https://www.urbanladder.com/products/aadoo-bedsheet-set?sku=HDBLBPCTDPKN254&src=room
"Tulika Bedsheet Set (Beige, Fitted Size)",,,"₹2,599",,,,https://www.urbanladder.com/products/tulika-bedsheet-set?sku=HDBLBPCTDBGF253&src=room
"Aadoo Bedsheet Set (Pink, Single Size)",,,"₹1,399",,,,https://www.urbanladder.com/products/aadoo-bedsheet-set?sku=HDBLBOCTSPKN254&src=room
Monte  Bedsheet Set (Queen Size),,,"₹1,699",,,,https://www.urbanladder.com/products/monte-bedsheet-set?sku=HDBLBPCTWBLF145&src=room
Gabrielle Bedsheet Set (King Size),Only 2 Left,,"₹1,899",,,,https://www.urbanladder.com/products/gabrielle-bedsheet-set?sku=HDBLBPCTWBLF196&src=room
"Renata Bedsheet Set (White, Queen Size)",,,"₹1,699",,,,https://www.urbanladder.com/products/renata-bedsheet-set?sku=HDBLBPCTWBLF147&src=subcat
"Estelle Bedsheet Set (White, Single Size)",,,₹999,,,,https://www.urbanladder.com/products/estelle-bedsheet-set?sku=HDBLBPCTWBLF224&src=subcat
"Mavis Bedsheet Set (White, Single Size)",,,₹999,,,,https://www.urbanladder.com/products/mavis-bedsheet-set?sku=HDBLBPCTWBLF225&src=subcat
"Corinne Bedsheet Set (Pink, Single Size)",,,₹999,,,,https://www.urbanladder.com/products/corinne-bedsheet-set?sku=HDBLBPCTWBLF231&src=subcat
"Remi Bedsheet Set (White, Queen Size)",,,"₹1,699",,,,https://www.urbanladder.com/products/remi-bedsheet-set?sku=HDBLBPCTWBLF176&src=subcat
"Paris Bedsheet Set (Beige, King Size)",,,"₹1,899",,,,https://www.urbanladder.com/products/paris-bedsheet-set?sku=HDBLBPCTWBLF197&src=subcat
"Remy Bedsheet Set (White, King Size)",,,"₹1,899",,,,https://www.urbanladder.com/products/remy-bedsheet-set?sku=HDBLBPCTWBLF207&src=subcat
"Adele Bedsheet Set (Dark Blue, King Size)",,,"₹1,899",,,,https://www.urbanladder.com/products/adele-bedsheet-set?sku=HDBLBPCTWBLF221&src=subcat
"Elodie Bedsheet Set (White, Single Size)",Only 3 Left,,₹999,,,,https://www.urbanladder.com/products/elodie-bedsheet-set?sku=HDBLBPCTWBLF228&src=room
"Nathalie Bedsheet Set (Pink, Single Size)",,,₹999,,,,https://www.urbanladder.com/products/nathalie-bedsheet-set?sku=HDBLBPCTWBLF234&src=subcat
"Nancy Bedsheet Set (Peach, Single Size)",,,₹999,,,,https://www.urbanladder.com/products/nancy-bedsheet-set?sku=HDBLBPCTWBLF235&src=subcat
"August Bedsheet Set (Grey, Single Size)",,,₹999,,,,https://www.urbanladder.com/products/august-bedsheet-set?sku=HDBLBPCTWBLF242&src=subcat
"Clauser Bedsheet Set (White, Queen Size)",,,"₹1,699",,,,https://www.urbanladder.com/products/clauser-bedsheet-set?sku=HDBLBPCTWBLF172&src=subcat
"Isabelle Bedsheet Set (Grey, Queen Size)",,,"₹1,699",,,,https://www.urbanladder.com/products/isabelle-bedsheet-set?sku=HDBLBPCTWBLF173&src=subcat
"Juliette Bedsheet Set (Peach, Queen Size)",,,"₹1,699",,,,https://www.urbanladder.com/products/juliette-bedsheet-set?sku=HDBLBPCTWBLF179&src=room
"Vivienne Bedsheet Set (Grey, Queen Size)",,,"₹1,699",,,,https://www.urbanladder.com/products/vivienne-bedsheet-set?sku=HDBLBPCTWBLF193&src=subcat
"Margot Bedsheet Set (Dark Blue, Queen Size)",,,"₹1,699",,,,https://www.urbanladder.com/products/margot-bedsheet-set?sku=HDBLBPCTWBLF194&src=room
"Luka Bedsheet Set (White, King Size)",,,"₹1,999",,,,https://www.urbanladder.com/products/luka-bedsheet-set?sku=HDBLBPCTWBLF143&src=room
"Saptaparni Bedsheet Set (Yellow, Single Size, Regular Bedsheet Type)",,,"₹1,399",,,,https://www.urbanladder.com/products/saptaparni-bedsheet-set?sku=HDBLBOCTSYLN303&src=room
"Saptaparni Bedsheet Set (Green, Double Size, Fitted Bedsheet Type)",,,"₹2,599",,,,https://www.urbanladder.com/products/saptaparni-bedsheet-set?sku=HDBLBPCTDGRN316&src=room
"Saptaparni Bedsheet Set (Yellow, Double Size, Regular Bedsheet Type)",,,"₹2,299",,,,https://www.urbanladder.com/products/saptaparni-bedsheet-set?sku=HDBLBPCTDYLN307&src=subcat
"Saptaparni Bedsheet Set (Yellow, Double Size, Regular Bedsheet Type)",,,"₹2,299",,,,https://www.urbanladder.com/products/saptaparni-bedsheet-set?sku=HDBLBPCTDYLN307&src=subcat
"Saptaparni Bedsheet Set (Green, Single Size, Regular Bedsheet Type)",,,"₹1,399",,,,https://www.urbanladder.com/products/saptaparni-bedsheet-set?sku=HDBLBOCTSGRN304&src=room
"Saptaparni Bedsheet Set (Yellow, King Size, Regular Bedsheet Type)",,,"₹2,599",,,,https://www.urbanladder.com/products/saptaparni-bedsheet-set?sku=HDBLBPCTKYLN311&src=room
Sarah Bedsheet Set (Double Size),,,"₹2,199",,,,https://www.urbanladder.com/products/sarah-bedsheet-set?sku=HDBLBPCTKBLF182&src=room
"Clauser Bedsheet Set (White, Queen Size)",,,"₹1,699",,,,https://www.urbanladder.com/products/clauser-bedsheet-set?sku=HDBLBPCTWBLF172&src=subcat
"Isabelle Bedsheet Set (Grey, Queen Size)",,,"₹1,699",,,,https://www.urbanladder.com/products/isabelle-bedsheet-set?sku=HDBLBPCTWBLF173&src=subcat
"Juliette Bedsheet Set (Peach, Queen Size)",,,"₹1,699",,,,https://www.urbanladder.com/products/juliette-bedsheet-set?sku=HDBLBPCTWBLF179&src=room
"Vivienne Bedsheet Set (Grey, Queen Size)",,,"₹1,699",,,,https://www.urbanladder.com/products/vivienne-bedsheet-set?sku=HDBLBPCTWBLF193&src=subcat
"Margot Bedsheet Set (Dark Blue, Queen Size)",,,"₹1,699",,,,https://www.urbanladder.com/products/margot-bedsheet-set?sku=HDBLBPCTWBLF194&src=room
"Luka Bedsheet Set (White, King Size)",,,"₹1,999",,,,https://www.urbanladder.com/products/luka-bedsheet-set?sku=HDBLBPCTWBLF143&src=room
"Remy Bedsheet Set (White, King Size)",,,"₹1,899",,,,https://www.urbanladder.com/products/remy-bedsheet-set?sku=HDBLBPCTWBLF207&src=subcat
"Adele Bedsheet Set (Dark Blue, King Size)",,,"₹1,899",,,,https://www.urbanladder.com/products/adele-bedsheet-set?sku=HDBLBPCTWBLF221&src=subcat
"Elodie Bedsheet Set (White, Single Size)",Only 3 Left,,₹999,,,,https://www.urbanladder.com/products/elodie-bedsheet-set?sku=HDBLBPCTWBLF228&src=room
"Nathalie Bedsheet Set (Pink, Single Size)",,,₹999,,,,https://www.urbanladder.com/products/nathalie-bedsheet-set?sku=HDBLBPCTWBLF234&src=subcat
"Nancy Bedsheet Set (Peach, Single Size)",,,₹999,,,,https://www.urbanladder.com/products/nancy-bedsheet-set?sku=HDBLBPCTWBLF235&src=subcat
"August Bedsheet Set (Grey, Single Size)",,,₹999,,,,https://www.urbanladder.com/products/august-bedsheet-set?sku=HDBLBPCTWBLF242&src=subcat
Lance Bedsheet Set (King Size),,,"₹2,699",,,,https://www.urbanladder.com/products/lance-bedsheet-set?sku=HDBLBPCTKBLF151&src=subcat
Lula Bedsheet Set (King Size),,,"₹2,699",,,,https://www.urbanladder.com/products/lula-bedsheet-set?sku=HDBLBPCTKBLF163&src=subcat
"Saptaparni Bedsheet Set (Yellow, Single Size, Regular Bedsheet Type)",,,"₹1,399",,,,https://www.urbanladder.com/products/saptaparni-bedsheet-set?sku=HDBLBOCTSYLN303&src=room
"Saptaparni Bedsheet Set (Green, Double Size, Fitted Bedsheet Type)",,,"₹2,599",,,,https://www.urbanladder.com/products/saptaparni-bedsheet-set?sku=HDBLBPCTDGRN316&src=room
"Himalayan Poppies Bedsheet Set (Yellow, Single Size, Regular Bedsheet Type)",,,"₹1,399",,,,https://www.urbanladder.com/products/himalayan-poppies-bedsheet-set?sku=HDBLBOCTSYLN301&src=room
"Himalayan Poppies Bedsheet Set (Purple, Double Size, Fitted Bedsheet Type)",,,"₹2,599",,,,https://www.urbanladder.com/products/himalayan-poppies-bedsheet-set?sku=HDBLBPCTDPUN314&src=room
Lula Bedsheet Set (Double Size),,,"₹2,199",,,,https://www.urbanladder.com/products/lula-bedsheet-set?sku=HDBLBPCTKBLF162&src=room
Jay Bedsheet Set (Single Size),,,"₹1,299",,,,https://www.urbanladder.com/products/jay-bedsheet-set?sku=HDBLBPCTKBLF169&src=subcat
Marion Bedsheet Set (Single Size),,,"₹1,599",,,,https://www.urbanladder.com/products/marion-bedsheet-set?sku=HDBLBPCTKBLF185&src=room
Alexis Bedsheet Set (King Size),,,"₹3,299",,,,https://www.urbanladder.com/products/alexis-bedsheet-set?sku=HDBLBPCTKBLF192&src=room
Ebony Bedsheet Set (Single Size),,,"₹1,299",,,,https://www.urbanladder.com/products/ebony-bedsheet-set?sku=HDBLBPCTKBLF177&src=room
Marion Bedsheet Set (King Size),,,"₹3,299",,,,https://www.urbanladder.com/products/marion-bedsheet-set?sku=HDBLBPCTKBLF188&src=room
Price Bedsheet Set (Single Size),,,"₹1,599",,,,https://www.urbanladder.com/products/price-bedsheet-set?sku=HDBLBPCTKBLF201&src=room
"Himalayan Poppies Bedsheet Set (Yellow, Double Size, Regular Bedsheet Type)",,,"₹2,299",,,,https://www.urbanladder.com/products/himalayan-poppies-bedsheet-set?sku=HDBLBPCTDYLN305&src=subcat
"Genevieve Bedsheet Set (Green, Queen Size)",,,"₹2,499",,,,https://www.urbanladder.com/products/genevieve-bedsheet-set?sku=HDBLBPCTWBLF177&src=subcat
"Rosalie Bedsheet Set (White, Queen Size)",,,"₹1,699",,,,https://www.urbanladder.com/products/rosalie-bedsheet-set?sku=HDBLBPCTWBLF184&src=subcat
"Elle Bedsheet Set (White, King Size)",,,"₹1,899",,,,https://www.urbanladder.com/products/elle-bedsheet-set?sku=HDBLBPCTWBLF198&src=subcat
"Margo Bedsheet Set (Pink, Single Size)",,,₹999,,,,https://www.urbanladder.com/products/margo-bedsheet-set?sku=HDBLBPCTWBLF226&src=subcat
"Denver Bedsheet Set (White, Single Size)",,,₹999,,,,https://www.urbanladder.com/products/denver-bedsheet-set?sku=HDBLBPCTWBLF232&src=subcat
